"Blast-Off Blue","blast-off-blue","#4c6393"
"Inkspot","mp11285","#1e0043"
"Innsbruck Blue","mp4979","#294160"
"Into The Blue","mp8064","#1d7c96"
"Jacque Blue","mp6198","#90b0bd"
"Jade Blue","mp3571","#2b616c"
"Jaded Blue","mp742","#649ca8"
"Jet Stream","mp7490","#c1d0e0"
"Jumping Juniper","mp8705","#729897"
"Labatt Blue","mp2750","#465178"
"Laid Back Blue","mp969","#ced7e4"
"Lake Placid","mp2392","#7ecbce"
"Lapp Lake","mp8066","#4d7c98"
"Las Palmas Blue","mp2783","#3b545c"
"Lazy Sunday","mp7529","#617a9b"
"Light Sky","mp1715","#bde1db"
"Macaw Blue","mp64","#2e4b91"
"Meridian Blue","mp7895","#3498a3"
"Mid Blue","mp10452","#33518f"
"Midnight Blue","mp2320","#4b3b5b"
"Midnight In Nome","mp8069","#506677"
"Ming Vase","mp6161","#004b69"
"Miramar","mp12682","#c0e7eb"
"Mojave Aster","mp3342","#4b6887"
"Monserrat Blue","mp17","#005b81"
"Mozart Blue","mp7031","#5d7985"
"Nantucket","mp6175","#5f5f85"
"Napoleon Blue","mp2598","#394577"
"Navajo Turquoise","mp10230","#207893"
"New Borns Eyes","mp7880","#b0c4d6"
"Night Mission","mp6678","#3b3850"
"North Sea Blue","mp8201","#004869"
"Ocho Rios Blue","mp3547","#2a5594"
"Oh So Blue","mp13999","#2f4f99"
"Oldham Blue","mp11818","#59777d"
"Paddington Blue","mp7327","#466baa"
"Pale Delphinium","mp893","#dde7ff"
"Pasha Blue","mp10596","#62546d"
"Pastel Smalt Blue","mp11589","#a7b7ec"
"Pastoral Blue","mp6046","#44668b"
"Patrician Blue","mp12008","#486a80"
"Peter O Teal","mp8339","#295b67"
"Plumage","mp6126","#005a7c"
"Process Cyan U","mp9133","#0088c5"
"Puget Sound Blue","mp11584","#194982"
"Purple Orchid","mp12013","#4e1461"
"Purple Print","mp2112","#785186"
"Queens Wreath","mp7461","#857f8e"
"Reflex Blue C 2X","mp1060","#201a44"
"Regalia Blue","mp2758","#181e53"
"Rendezvous Bay","mp7279","#57959c"
"River Teal Blue","mp741","#2a5962"
"Road House Blues","mp11862","#004f6e"
"Roman Bath Blue","mp950","#78cbd7"
"Rotterdam Blue","mp13704","#3e5d73"
"Royal Purple","mp2016","#4e1469"
"Sailboat Blue","mp2160","#1652a6"
"Santa Clara","mp7336","#60acb5"
"Scuro Blue","mp5264","#596e91"
"Sea Reflections","mp7030","#71909c"
"Skylight","mp2983","#dce5e4"
"Soda Can Blue","mp13912","#007cb3"
"South China Sea","mp10505","#43455c"
"St. Louis Blues","mp6186","#327473"
"St. Maarten Blue","mp356","#d1f8f5"
"Staid Blue","mp962","#d2d5dc"
"Starshine Blue","mp6062","#d9e1e4"
"Steamboat Blue","mp25133","#1f0d4f"
"Teal Edge","mp6679","#2e6972"
"Teal Plastic","mp11829","#608e94"
"Thalassa","mp8713","#62b8c0"
"Tintoretto Blue","mp8973","#374463"
"Tonal Blue","mp10359","#1f6e94"
"Toray Blue","mp13750","#28396a"
"Touch Of Dutch","mp10098","#747a8d"
"Tralee Blue","mp4654","#4b688f"
"Tres Blue","mp14019","#152c69"
"Van Deusen Blue","mp7440","#536575"
"Vans Blue Money","mp13740","#16143d"
"Vanuatu Blue","mp11703","#005779"
"Venetian Tile Blue","mp943","#8dcccf"
"Very Blue","mp10259","#313558"
"Victory Navy Blue","mp1989","#3c3254"
"Vienna Lake","mp4840","#9bccd4"
"Vinca Blue","mp13836","#8c92c5"
"Violet Kohl","mp11225","#7e767b"
"VW Bug Blue","mp907","#8ec7d9"
"Waloon Blue","mp2774","#6f86a2"
"Whitewashed Blue","mp948","#b7dfde"
"Wilmington Spruce","mp7535","#43949d"
"Working Blue","mp9431","#4e2d7d"
"Yin Yang","mp7477","#777d96"
"Alcazar Brown","mp11569","#855c4e"
"Alton Brown","mp2250","#533f42"
"Anodized Black","mp13338","#4c2f30"
"Antler","mp6720","#b79882"
"Arabica Bean","mp2833","#7d583e"
"Baked Cumin","mp7646","#b69667"
"Bear Creek","mp7050","#836452"
"Beaver Creek","mp6666","#978067"
"Beige Frame","mp12813","#bda890"
"Beigewood","mp7621","#9b8067"
"Bellaire Brown","mp12808","#391e1f"
"Brogan Brown","mp11559","#8a553c"
"Brown Bear","mp555","#4e3232"
"Brown Betty","mp158","#784d2f"
"Brown Bomber","mp13306","#6e3820"
"Brown County","mp4991","#956f54"
"Brown Ebony","mp13799","#55322e"
"Brown Shoe","mp1077","#5f4141"
"Brownian Motion","mp13377","#83675e"
"Camino","mp6390","#b4a290"
"Capilano Bridge","mp10441","#c1a47e"
"Cast Bronze","mp7458","#5a3d3d"
"Cattail Brown","mp2808","#8b6044"
"Chocolat Noir","mp13335","#5a3d3d"
"Chocolate Bliss","mp10161","#73544c"
"Chocolate Thunder","mp11705","#471600"
"Choconut","mp554","#564141"
"Chukker Brown","mp12860","#b39a7e"
"Clay Ball","mp11949","#aa9784"
"Clay Beige","mp12385","#ab9784"
"Cocoa Crispy","mp857","#5d2e27"
"Craft Brown","mp3181","#9f7f69"
"Dark Horse","mp11194","#442929"
"Dark Roast","mp12213","#442929"
"Dopplebock","mp3364","#431906"
"Doric Brown","mp4418","#503434"
"Fudge Brownie","mp6063","#4f2414"
"Grey Gelding","mp3337","#9c7f59"
"Greytan","mp11315","#cfc4b1"
"James Brown","mp13200","#814830"
"Madrone","mp5239","#975b42"
"Mahogany Leather","mp655","#643624"
"Malva Mauve","mp12994","#774633"
"Mocha Latte","mp9189","#af845a"
"Modena Mud","mp607","#8e614a"
"Nutella","mp8137","#6c3b1e"
"Obsidian","mp4836","#4c2f30"
"Orso Brown","mp2804","#563225"
"Plantation Brown","mp2779","#886251"
"Pumpernickle","mp6179","#7d6461"
"Raw Brown","mp608","#9f684b"
"Rich Brown","mp10217","#42190d"
"Ruddock Brown","mp13262","#877363"
"SIS Brown","mp12184","#612c16"
"Smoked Hickory","mp6031","#9d7a61"
"Spanish Moss","mp3078","#705b3e"
"Spiced Brown","mp6645","#6a3a28"
"Stonebark","mp14148","#806452"
"Tantara","mp12567","#c6ac87"
"Teddy Bear","mp6952","#a9815e"
"Terminal Tan","mp4427","#a57d62"
"Town Brown","mp2949","#b09168"
"Unbriel","mp11721","#774b26"
"Unicor Brown","mp12718","#6e5657"
"Valrhona Cocoa","mp5132","#6d4a3e"
"Yearling","mp3265","#ae906c"
"Alabaster Met.","mp20086","#b9b199"
"Alpha Bronze Met.","mp20146","#ac9c7c"
"Ancient Bronze Met.","mp20308","#766566"
"Anodized Aluminum Met.","mp20140","#a79f8e"
"Art Deco Bronze Met.","mp20161","#836d65"
"Auguste Bronze Met.","mp20183","#766566"
"Bank Bronze Met.","mp20144","#83746f"
"Bell Metal Bronze Met.","mp20185","#857069"
"Bronze Doro Met.","mp36581","#a19a88"
"Bronze Metal Met.","mp20156","#795b42"
"Bronzeglow Met.","mp20084","#ae9a8c"
"Castell Bronze Met.","mp20157","#63452f"
"Champagne Brut Met.","mp20090","#aba18f"
"Charon Grey Met.","mp56301","#8f867d"
"Cingular Grey Met.","mp28072","#666362"
"Corinthian Bronze Met.","mp20189","#6c584f"
"Dark Bronze Met.","mp20303","#595553"
"Doric Bronze Met.","mp20307","#5a4d50"
"Duronodic 313 Met.","mp20190","#625150"
"Duronodic Bronze Met.","mp20147","#968674"
"Elston Brown Met.","mp29237","#b5a698"
"Equus Bronze Met.","mp20181","#6f595a"
"Etruscan Bronze Met.","mp20159","#957d62"
"Frosty Nickel Met.","mp20046","#b5a698"
"Grecian Bronze Met.","mp20305","#7b665d"
"Grey Taupe Met.","mp30835","#a19887"
"Gris Bronze Met","mp54906","#afa590"
"Gustave Grey Met.","mp51681","#7a736e"
"Hermes Bronze Met.","mp20160","#624d4e"
"Ivory Met.","mp20062","#baac9e"
