"DIC 1s","1s","#fad2ba"
"DIC 564s*","564s","#e8404c"
"DIC 565s*","565s","#fd5a3d"
"DIC 566s*","566s","#ff802c"
"DIC 567s*","567s","#ffca00"
"DIC 568s","568s","#fbe400"
"DIC 569s","569s","#fde100"
"DIC 570s","570s","#fde100"
"DIC 571s","571s","#f7e741"
"DIC 572s*","572s","#00a755"
"DIC 574s","574s","#0099c0"
"DIC 576s","576s","#009bd3"
"DIC 577s","577s","#0099d6"
"DIC 578s*","578s","#0076a4"
"DIC 579s","579s","#0068b3"
"DIC 580s","580s","#613682"
"DIC 581s*","581s","#613282"
"DIC 582s","582s","#4f4a46"
"DIC 583s","583s","#efebe8"
"DIC 584s***","584s","#ff70c5"
"DIC 584Bs***","584bs","#ff64ca"
"DIC 585s***","585s","#ff75ac"
"DIC 586s***","586s","#ff799a"
"DIC 587s***","587s","#ff9b88"
"DIC 588s***","588s","#ffb981"
"DIC 589s***","589s","#ffd373"
"DIC 590s***","590s","#f4f860"
"DIC 591s***","591s","#5fd45e"
"DIC 592s***","592s","#de318a"
"DIC 593s***","593s","#ff5954"
"DIC 594s***","594s","#ff6457"
"DIC 595s***","595s","#ffbe38"
"DIC 596s***","596s","#ffc81c"
"DIC 597s***","597s","#f4ee4e"
"DIC 598s***","598s","#1bbe61"
"DIC 599s***","599s","#bb90ac"
"DIC 600s***","600s","#bca8b5"
"DIC 601s***","601s","#baa2b0"
"DIC 602s***","602s","#c2a7a9"
"DIC 603s***","603s","#baa7a8"
"DIC 604s***","604s","#b6a7a4"
"DIC 605s***","605s","#b6b8a4"
"DIC 606s***","606s","#b7b798"
"DIC 607s***","607s","#b9baae"
"DIC 608s***","608s","#a8b3a5"
"DIC 609s***","609s","#aeb9ad"
"DIC 610s***","610s","#9db7b0"
"DIC 611s***","611s","#9bbab2"
"DIC 612s***","612s","#9eb9b6"
"DIC 613s***","613s","#9fb7b9"
"DIC 614s***","614s","#a3b9c0"
"DIC 615s***","615s","#9fb4bc"
"DIC 616s***","616s","#a3aaba"
"DIC 617s***","617s","#ababb7"
"DIC 618s***","618s","#afb3b6"
"DIC 619s***","619s","#cda67f"
"DIC 620s***","620s","#bda576"
"DIC 621s***","621s","#c9ccce"
"DIC 632s","632s","#ba4295"
"DIC 633s","633s","#e03b80"
"DIC 634s*","634s","#d92f66"
"DIC 635s*","635s","#fd5d44"
"DIC 636s*","636s","#ff892f"
"DIC 637s*","637s","#ffd600"
"DIC 638s*","638s","#00a45c"
"DIC 639s*","639s","#0098d0"
"DIC 640s","640s","#008fd1"
"DIC 641s*","641s","#185aa5"
"DIC 642s*","642s","#58bc4a"
"DIC 643s","643s","#009d73"
"DIC 644s*","644s","#006866"
"DIC 645s*","645s","#b05a3c"
"DIC 646s*","646s","#985145"
"DIC 647s*","647s","#5d4943"
"DIC 648s","648s","#d32b92"
"DIC 649s*","649s","#00b391"
"DIC 650s","650s","#b6b8b5"
"DIC 651s","651s","#9fa2a1"
"DIC 652s*","652s","#979a9c"
"DIC 653s*","653s","#7c7d81"
"DIC 654s*","654s","#737578"
"DIC 2001s","2001s","#ed7a97"
"DIC 2002s*","2002s","#f792ac"
"DIC 2003s*","2003s","#f6a5bc"
"DIC 2004s*","2004s","#f5b0c3"
"DIC 2005s*","2005s","#f2bcce"
"DIC 2006s*","2006s","#fd9aab"
"DIC 2007s","2007s","#fa8397"
"DIC 2008s*","2008s","#f297a1"
"DIC 2009s*","2009s","#f9b9bc"
"DIC 2010s*","2010s","#fbbec4"
"DIC 2011s*","2011s","#fac6c7"
"DIC 2012s*","2012s","#f6d0d0"
"DIC 2013s*","2013s","#f0cdd1"
"DIC 2014s*","2014s","#f3d4d2"
"DIC 2015s","2015s","#f4ded8"
"DIC 2016s","2016s","#f1dfdc"
"DIC 2017s*","2017s","#edd8de"
"DIC 2018s","2018s","#f3ddd7"
"DIC 2019s","2019s","#f4dfd2"
"DIC 2020s","2020s","#f0e4d9"
"DIC 2021s*","2021s","#f5d7c7"
"DIC 2022s","2022s","#f5d5c8"
"DIC 2023s","2023s","#f4d7cb"
"DIC 2024s*","2024s","#e7ccc6"
"DIC 2025s*","2025s","#f9cfc7"
"DIC 2026s*","2026s","#fac3b7"
"DIC 2027s*","2027s","#ffb7a9"
"DIC 2028s*","2028s","#fdbdb2"
"DIC 2029s*","2029s","#feb5b2"
"DIC 2030s*","2030s","#ffb0a9"
"DIC 2031s*","2031s","#ffa79d"
"DIC 2032s*","2032s","#ffa09b"
"DIC 2033s*","2033s","#ff978b"
"DIC 2034s*","2034s","#ff9077"
"DIC 2035s*","2035s","#ff9d84"
"DIC 2036s*","2036s","#fead99"
"DIC 2037s*","2037s","#ffb69d"
"DIC 2038s*","2038s","#ebd9c6"
"DIC 2039s*","2039s","#ebd8bf"
"DIC 2040s*","2040s","#f0d7c8"
"DIC 2041s*","2041s","#f5d9c8"
"DIC 2042s","2042s","#f3dcca"
"DIC 2043s","2043s","#f2e1cf"
"DIC 2044s*","2044s","#f2e2c9"
"DIC 2045s","2045s","#f3ddc4"
"DIC 2046s*","2046s","#f6d5b9"
"DIC 2047s*","2047s","#ffc99d"
"DIC 2048s*","2048s","#ffbd8e"
"DIC 2049s*","2049s","#ffb483"
"DIC 2050s*","2050s","#ffad74"
"DIC 2051s*","2051s","#fdc086"
"DIC 2052s*","2052s","#ffd996"
"DIC 2053s*","2053s","#ffde99"
"DIC 2054s","2054s","#f3e2c0"
"DIC 2055s","2055s","#f0e8cc"
"DIC 2056s","2056s","#efeacd"
"DIC 2057s*","2057s","#efe8c3"
"DIC 2058s*","2058s","#f0e9bc"
"DIC 2059s*","2059s","#f2e5b3"
"DIC 2060s*","2060s","#f8ebbb"
"DIC 2061s*","2061s","#fdebae"
"DIC 2062s","2062s","#f4eb8e"
"DIC 2063s","2063s","#f5e877"
"DIC 2064s","2064s","#f8de77"
"DIC 2065s*","2065s","#fee48c"
"DIC 2066s*","2066s","#ffe2a5"
"DIC 2067s*","2067s","#ffe39a"
"DIC 2068s*","2068s","#fbd682"
"DIC 2069s","2069s","#f8dc7b"
"DIC 2070s","2070s","#fecc68"
"DIC 2071s*","2071s","#edb861"
"DIC 2072s","2072s","#ddb755"
"DIC 2073s","2073s","#e6bc43"
"DIC 2074s","2074s","#e8c955"
"DIC 2075s","2075s","#e9c96a"
"DIC 2076s","2076s","#e5d37d"
"DIC 2077s","2077s","#e3d263"
"DIC 2078s","2078s","#d7c452"
"DIC 2079s","2079s","#d4c05c"
"DIC 2080s","2080s","#d4cd70"
"DIC 2081s","2081s","#d2cf90"
"DIC 2082s","2082s","#dfdcb0"
"DIC 2083s","2083s","#e9e7cb"
"DIC 2084s","2084s","#eae8d4"
"DIC 2085s","2085s","#eae8d2"
"DIC 2086s","2086s","#e6ebd1"
"DIC 2087s*","2087s","#eeedbe"
"DIC 2088s*","2088s","#ebeaa9"
"DIC 2089s*","2089s","#f2ec81"
"DIC 2090s*","2090s","#f5eca0"
