"C3-61-27 ziegel A","c3-61-27-ziegel-a","#962929"
"DN-02-81 orangegrau C","dn-02-81-orangegrau-c","#f0e4de"
"D4-05-66 orangegrau B","d4-05-66-orangegrau-b","#c0b1a8"
"D6-05-36 orangegrau A","d6-05-36-orangegrau-a","#6d635d"
"E0-03-84 lehm C","e0-03-84-lehm-c","#f7eae0"
"E5-06-74 lehm B","e5-06-74-lehm-b","#e5d5c6"
"E3-06-25 lehm A","e3-06-25-lehm-a","#4d4842"
"EN-02-88 sandstein C","en-02-88-sandstein-c","#faf2e9"
"E7-10-75 sandstein B","e7-10-75-sandstein-b","#e4cfb6"
"E8-12-31 sandstein A","e8-12-31-sandstein-a","#62574b"
"E6-08-84 caffe latte C","e6-08-84-caffe-latte-c","#ffe8d3"
"E7-14-73 caffe latte B","e7-14-73-caffe-latte-b","#e4c9aa"
"E8-15-34 caffe latte A","e8-15-34-caffe-latte-a","#6e5f4c"
"E4-04-83 mokka C","e4-04-83-mokka-c","#f4e7da"
"E1-26-54 mokka B","e1-26-54-mokka-b","#c4946a"
"E2-16-24 mokka A","e2-16-24-mokka-a","#58483a"
"E1-14-79 zimt C","e1-14-79-zimt-c","#f9d2b4"
"E0-34-65 zimt B","e0-34-65-zimt-b","#eba56c"
"D7-27-23 zimt A","d7-27-23-zimt-a","#614331"
"D2-16-75 lachs C","d2-16-75-lachs-c","#f9c4ac"
"D2-35-55 lachs B","d2-35-55-lachs-b","#d5835e"
"D1-40-30 lachs A","d1-40-30-lachs-a","#85462e"
"D4-19-69 terrakotta C","d4-19-69-terrakotta-c","#eab395"
"D5-47-61 terrakotta B","d5-47-61-terrakotta-b","#f88d50"
"D5-48-31 terrakotta A","d5-48-31-terrakotta-a","#8d471b"
"E0-29-71 mango C","e0-29-71-mango-c","#fcb581"
"E0-51-60 mango B","e0-51-60-mango-b","#f18d3f"
"E0-48-31 mango A","e0-48-31-mango-a","#894f27"
"E6-19-80 mandarine C","e6-19-80-mandarine-c","#ffd8ac"
"E4-52-59 mandarine B","e4-52-59-mandarine-b","#e39238"
"E3-49-40 mandarine A","e3-49-40-mandarine-a","#9f6325"
"E7-25-80 safran C","e7-25-80-safran-c","#ffd495"
"E7-56-69 sarfan B","e7-56-69-sarfan-b","#ffad32"
"E6-53-45 safran A","e6-53-45-safran-a","#ab7326"
"FN-02-88 gelbgrau C","fn-02-88-gelbgrau-c","#f5eee5"
"FN-02-66 gelbgrau B","fn-02-66-gelbgrau-b","#bbb6af"
"F3-03-38 gelbgrau A","f3-03-38-gelbgrau-a","#6c6863"
"F5-03-87 schiefer C","f5-03-87-schiefer-c","#f8f3e8"
"F8-07-80 schiefer B","f8-07-80-schiefer-b","#e6dec9"
"F5-06-30 schiefer A","f5-06-30-schiefer-a","#5a564f"
"F3-03-88 umbra C","f3-03-88-umbra-c","#fdf6eb"
"F4-07-76 umbra B","f4-07-76-umbra-b","#dfd4bf"
"F5-11-39 umbra A","f5-11-39-umbra-a","#746c5e"
"GN-02-87 sand C","gn-02-87-sand-c","#f8f4e9"
"G0-10-71 sand B","g0-10-71-sand-b","#cec5aa"
"G0-11-31 sand A","g0-11-31-sand-a","#5c5849"
"G0-05-88 khaki C","g0-05-88-khaki-c","#fff7e5"
"G1-12-79 khaki B","g1-12-79-khaki-b","#e9debb"
"F9-21-20 khaki A","f9-21-20-khaki-a","#463e2c"
"G0-15-85 olive C","g0-15-85-olive-c","#fdebbb"
"G0-24-75 olive B","g0-24-75-olive-b","#e3d091"
"G0-32-30 olive A","g0-32-30-olive-a","#635831"
"F5-09-86 ananas C","f5-09-86-ananas-c","#fff1d4"
"F6-24-77 ananas B","f6-24-77-ananas-b","#efd294"
"F6-43-48 ananas A","f6-43-48-ananas-a","#9b8237"
"F1-14-84 mais C","f1-14-84-mais-c","#ffe7bf"
"F2-35-75 mais B","f2-35-75-mais-b","#f5c772"
"F2-50-50 mais A","f2-50-50-mais-a","#ad822a"
"F8-16-82 curry C","f8-16-82-curry-c","#eedfb1"
"F5-54-75 curry B","f5-54-75-curry-b","#f9c731"
"F6-55-54 curry A","f6-55-54-curry-a","#b38e12"
"G4-15-84 zitrone C","g4-15-84-zitrone-c","#f4eaba"
"G1-61-75 zitrone B","g1-61-75-zitrone-b","#ebd203"
