"orchidee 1","orchidee-1","#883854"
"curuma 10","curuma-10","#ffefc0"
"curuma 11","curuma-11","#ffe8ac"
"curuma 12","curuma-12","#fff4cf"
"curuma 13","curuma-13","#fef6dc"
"curuma 14","curuma-14","#fef9e5"
"rock 1","rock-1","#4d575d"
"rock 2","rock-2","#606e76"
"rock 3","rock-3","#6d7c86"
"rock 4","rock-4","#909fa7"
"rock 5","rock-5","#c6d1d6"
"apple 1","apple-1","#7eaf2b"
"apple 2","apple-2","#99bd37"
"apple 3","apple-3","#8bb72a"
"apple 4","apple-4","#a9c746"
"apple 5","apple-5","#aeca4f"
"apple 6","apple-6","#c5d86f"
"apple 7","apple-7","#b6cf58"
"apple 8","apple-8","#d1de83"
"apple 9","apple-9","#dde79b"
"apple 10","apple-10","#edf2c2"
"apple 11","apple-11","#e7edae"
"apple 12","apple-12","#f5f7d2"
"apple 13","apple-13","#f6f8dd"
"apple 14","apple-14","#f9f9e4"
"cumin 1","cumin-1","#92763b"
"cumin 2","cumin-2","#ab8743"
"cumin 3","cumin-3","#a0803f"
"cumin 4","cumin-4","#b99551"
"cumin 5","cumin-5","#be9b55"
"cumin 6","cumin-6","#d3b170"
"cumin 7","cumin-7","#c7a25c"
"cumin 8","cumin-8","#ddbf82"
"cumin 9","cumin-9","#e7cc96"
"cumin 10","cumin-10","#f6e6c0"
"cumin 11","cumin-11","#efdcaf"
"cumin 12","cumin-12","#f9efd0"
"cumin 13","cumin-13","#fbf4db"
"cumin 14","cumin-14","#fcf8e4"
"amethyst 1","amethyst-1","#617591"
"amethyst 2","amethyst-2","#8fa2bb"
"amethyst 3","amethyst-3","#9fb1c7"
"amethyst 4","amethyst-4","#c2cfdd"
"amethyst 5","amethyst-5","#e8eef0"
"avocado 1","avocado-1","#30853e"
"avocado 2","avocado-2","#429c48"
"avocado 3","avocado-3","#33933f"
"avocado 4","avocado-4","#58ac5b"
"avocado 5","avocado-5","#60b160"
"avocado 6","avocado-6","#80c67e"
"avocado 7","avocado-7","#6dba6c"
"avocado 8","avocado-8","#96d393"
"avocado 9","avocado-9","#abdca6"
"avocado 10","avocado-10","#d0eecb"
"avocado 11","avocado-11","#bee7ba"
"avocado 12","avocado-12","#ddf4d8"
"avocado 13","avocado-13","#e8f8e4"
"avocado 14","avocado-14","#effaea"
"muskat 1","muskat-1","#756647"
"muskat 2","muskat-2","#887756"
"muskat 3","muskat-3","#7f6e4e"
"muskat 4","muskat-4","#958360"
"muskat 5","muskat-5","#998765"
"muskat 6","muskat-6","#b2a180"
"muskat 7","muskat-7","#a3916e"
"muskat 8","muskat-8","#c2b293"
"muskat 9","muskat-9","#cfc2a5"
"muskat 10","muskat-10","#e5dcc8"
"muskat 11","muskat-11","#dbd0b8"
"muskat 12","muskat-12","#eee6d5"
"muskat 13","muskat-13","#f3eddf"
"muskat 14","muskat-14","#f7f3e6"
"lapislazuli 1","lapislazuli-1","#43547b"
"lapislazuli 2","lapislazuli-2","#759ac1"
"lapislazuli 3","lapislazuli-3","#89accf"
"lapislazuli 4","lapislazuli-4","#b2cbe2"
"lapislazuli 5","lapislazuli-5","#dfebf2"
"peppermint 1","peppermint-1","#115d50"
"peppermint 2","peppermint-2","#008c74"
