"S 1020-Y30R","s-1020-y30r","#efca9d"
"S 2020-Y30R","s-2020-y30r","#d5b28c"
"S 3020-Y30R","s-3020-y30r","#bc9974"
"S 4020-Y30R","s-4020-y30r","#a88867"
"S 5020-Y30R","s-5020-y30r","#8e6e51"
"S 6020-Y30R","s-6020-y30r","#785a40"
"S 7020-Y30R","s-7020-y30r","#5f412b"
"S 0530-Y30R","s-0530-y30r","#ffcc92"
"S 1030-Y30R","s-1030-y30r","#f2bf89"
"S 2030-Y30R","s-2030-y30r","#d9a674"
"S 3030-Y30R","s-3030-y30r","#be9164"
"S 4030-Y30R","s-4030-y30r","#a97c54"
"S 5030-Y30R","s-5030-y30r","#8f6642"
"S 6030-Y30R","s-6030-y30r","#785130"
"S 0540-Y30R","s-0540-y30r","#ffc17c"
"S 1040-Y30R","s-1040-y30r","#f7b674"
"S 2040-Y30R","s-2040-y30r","#da9d63"
"S 3040-Y30R","s-3040-y30r","#bc8551"
"S 3050-Y30R","s-3050-y30r","#bb7a41"
"S 4040-Y30R","s-4040-y30r","#a57241"
"S 4050-Y30R","s-4050-y30r","#a1652e"
"S 5040-Y30R","s-5040-y30r","#8e5c32"
"S 0550-Y30R","s-0550-y30r","#ffb567"
"S 1050-Y30R","s-1050-y30r","#f2a960"
"S 1060-Y30R","s-1060-y30r","#f39f4a"
"S 2050-Y30R","s-2050-y30r","#d7914e"
"S 2060-Y30R","s-2060-y30r","#d5873b"
"S 3060-Y30R","s-3060-y30r","#b9712d"
"S 3560-Y30R","s-3560-y30r","#a86424"
"S 4550-Y30R","s-4550-y30r","#945c2c"
"S 0560-Y30R","s-0560-y30r","#ffad57"
"S 0570-Y30R","s-0570-y30r","#ff9f3e"
"S 0580-Y30R","s-0580-y30r","#ff9700"
"S 0585-Y30R","s-0585-y30r","#ff8d00"
"S 1070-Y30R","s-1070-y30r","#ee9335"
"S 1080-Y30R","s-1080-y30r","#e78400"
"S 2070-Y30R","s-2070-y30r","#d27d29"
"S 2570-Y30R","s-2570-y30r","#c27218"
"S 0505-Y40R","s-0505-y40r","#fbedda"
"S 0507-Y40R","s-0507-y40r","#f9e9d2"
"S 0510-Y40R","s-0510-y40r","#fce3c7"
"S 1010-Y40R","s-1010-y40r","#ead3b8"
"S 0603-Y40R","s-0603-y40r","#f3ecdf"
"S 1005-Y40R","s-1005-y40r","#e7dbcb"
"S 1505-Y40R","s-1505-y40r","#dbcfbf"
"S 2005-Y40R","s-2005-y40r","#cec2b0"
"S 0515-Y40R","s-0515-y40r","#fddcba"
"S 1015-Y40R","s-1015-y40r","#efcfaf"
"S 1515-Y40R","s-1515-y40r","#e3c3a4"
"S 1510-Y40R","s-1510-y40r","#e0c9b0"
"S 2010-Y40R","s-2010-y40r","#d2baa1"
"S 3010-Y40R","s-3010-y40r","#bba38d"
"S 0520-Y40R","s-0520-y40r","#ffd5ad"
"S 1020-Y40R","s-1020-y40r","#f0c59e"
"S 2020-Y40R","s-2020-y40r","#d3ad8b"
"S 3020-Y40R","s-3020-y40r","#ba9578"
"S 4020-Y40R","s-4020-y40r","#a78265"
