"DN-01-87 rotgrau 5","dn-01-87-rotgrau-5","#faf3ee"
"W0-21-51 veilchen 2","w0-21-51-veilchen-2","#9b8abc"
"V9-29-32 veilchen 1","v9-29-32-veilchen-1","#6b5d8f"
"XN-01-83 pflaume 5","xn-01-83-pflaume-5","#ede6ec"
"X5-04-78 pflaume 4","x5-04-78-pflaume-4","#e8deea"
"W9-10-70 pflaume 3","w9-10-70-pflaume-3","#d8c2de"
"W9-20-50 pflaume 2","w9-20-50-pflaume-2","#a484b2"
"W9-19-39 pflaume 1","w9-19-39-pflaume-1","#876c91"
"YN-01-83 aubergine 5","yn-01-83-aubergine-5","#f1eaeb"
"YN-02-82 aubergine 4","yn-02-82-aubergine-4","#f1e5e9"
"Y1-08-73 aubergine 3","y1-08-73-aubergine-3","#e2c6d9"
"X7-18-54 aubergine 2","x7-18-54-aubergine-2","#b98cb4"
"X9-24-33 aubergine 1","x9-24-33-aubergine-1","#86597d"
"ZN-01-85 malve 5","zn-01-85-malve-5","#f0e7e8"
"Z5-06-78 malve 4","z5-06-78-malve-4","#ffdee8"
"Z1-14-71 malve 3","z1-14-71-malve-3","#eeb7d0"
"Y9-20-60 malve 2","y9-20-60-malve-2","#d895b9"
"Y9-21-39 malve 1","y9-21-39-malve-1","#996680"
"A6-04-83 cyclam 5","a6-04-83-cyclam-5","#f9e2e3"
"Z8-11-75 cyclam 4","z8-11-75-cyclam-4","#f8c5d3"
"Z8-18-63 cyclam 3","z8-18-63-cyclam-3","#e9a1b6"
"Z9-32-49 cyclam 2","z9-32-49-cyclam-2","#d36a8e"
"A0-41-28 cyclam 1","a0-41-28-cyclam-1","#973d5c"
"HN-01-83 dunkelgrau 5","hn-01-83-dunkelgrau-5","#e9e9e3"
"FN-00-73 dunkelgrau 4","fn-00-73-dunkelgrau-4","#cfcfcd"
"FN-00-63 dunkelgrau 3","fn-00-63-dunkelgrau-3","#b6b5b3"
"HN-00-45 dunkelgrau 2","hn-00-45-dunkelgrau-2","#858584"
"DN-00-11 dunkelgrau 1","dn-00-11-dunkelgrau-1","#414040"
"ON-00-87 mittelgrau 5","on-00-87-mittelgrau-5","#f5f3f1"
"ON-00-81 mittelgrau 4","on-00-81-mittelgrau-4","#e1e1df"
"ON-00-76 mittelgrau 3","on-00-76-mittelgrau-3","#d2d3d2"
"on-00-58 mittelgrau 2","on-00-58-mittelgrau-2","#a7a6a6"
"ON-00-36 mittelgrau 1","on-00-36-mittelgrau-1","#6e6c6b"
