"Trimetal D536D","trimetal-d536d","#d9ba79"
"Trimetal D539D","trimetal-d539d","#f3ce86"
"Trimetal D549J","trimetal-d549j","#a38129"
"Trimetal D561G","trimetal-d561g","#c29618"
"Trimetal D578E","trimetal-d578e","#e5ad00"
"Trimetal D607D","trimetal-d607d","#d5cfc1"
"Trimetal D614F","trimetal-d614f","#b9ae95"
"Trimetal D616B","trimetal-d616b","#f2e3c4"
"Trimetal D618B","trimetal-d618b","#f8e5c4"
"Trimetal D622C","trimetal-d622c","#f5e0b5"
"Trimetal D628C","trimetal-d628c","#f0d7a1"
"Trimetal D633L","trimetal-d633l","#846f34"
"Trimetal D637K","trimetal-d637k","#8f752f"
"Trimetal D638D","trimetal-d638d","#e8c983"
"Trimetal D644J","trimetal-d644j","#9d7f21"
"Trimetal D656E","trimetal-d656e","#bdbb3d"
"Trimetal D663F","trimetal-d663f","#d1a72c"
"Trimetal D676D","trimetal-d676d","#eebc03"
"Trimetal D684E","trimetal-d684e","#e9b400"
"Trimetal D687C","trimetal-d687c","#fbc700"
"Trimetal D709D","trimetal-d709d","#d3ccb9"
"Trimetal D710B","trimetal-d710b","#f1e8d3"
"Trimetal D711B","trimetal-d711b","#f4e9d4"
"Trimetal D712L","trimetal-d712l","#6d6551"
"Trimetal D741C","trimetal-d741c","#fcdb8b"
"Trimetal D741H","trimetal-d741h","#aa9046"
"Trimetal D768C","trimetal-d768c","#f4c82b"
"Trimetal D779D","trimetal-d779d","#edc000"
"Trimetal D807B","trimetal-d807b","#e6dfd2"
"Trimetal D812K","trimetal-d812k","#7f7763"
"Trimetal D813H","trimetal-d813h","#988f77"
"Trimetal D833D","trimetal-d833d","#e2cd91"
"Trimetal D834H","trimetal-d834h","#aa975b"
"Trimetal D840G","trimetal-d840g","#baa25a"
"Trimetal D847E","trimetal-d847e","#d7b85f"
"Trimetal D866D","trimetal-d866d","#ebc743"
"Trimetal D869F","trimetal-d869f","#d1ad1c"
"Trimetal D872D","trimetal-d872d","#edc324"
"Trimetal D876E","trimetal-d876e","#e3bb14"
"Trimetal D901D","trimetal-d901d","#d1d0cd"
"Trimetal D906A","trimetal-d906a","#f3eddf"
"Trimetal D914K","trimetal-d914k","#877e66"
"Trimetal D916F","trimetal-d916f","#b2a98b"
"Trimetal D917B","trimetal-d917b","#f4e7c5"
"Trimetal D918B","trimetal-d918b","#f1e2bd"
"Trimetal D918C","trimetal-d918c","#e8dbb7"
"Trimetal D920B","trimetal-d920b","#f2e4b8"
"Trimetal D930L","trimetal-d930l","#70632b"
"Trimetal D931F","trimetal-d931f","#bdaa6f"
"Trimetal D932C","trimetal-d932c","#f2dfa1"
"Trimetal D933D","trimetal-d933d","#dac98c"
"Trimetal D935C","trimetal-d935c","#eed895"
"Trimetal D981C","trimetal-d981c","#f4cc1e"
"Trimetal E015E","trimetal-e015e","#c7bea1"
"Trimetal E025E","trimetal-e025e","#c0b384"
"Trimetal E028E","trimetal-e028e","#c4b37e"
"Trimetal E042C","trimetal-e042c","#efd789"
"Trimetal E046C","trimetal-e046c","#f1da7f"
"Trimetal E057D","trimetal-e057d","#dbc759"
"Trimetal E062D","trimetal-e062d","#e5ca4d"
"Trimetal E067C","trimetal-e067c","#f5d74c"
"Trimetal E103B","trimetal-e103b","#efede5"
"Trimetal E103G","trimetal-e103g","#a4a29c"
"Trimetal E114B","trimetal-e114b","#ebe3c6"
"Trimetal E117B","trimetal-e117b","#f1e6c3"
"Trimetal E122C","trimetal-e122c","#dbd0a5"
"Trimetal E130C","trimetal-e130c","#f1e2a6"
"Trimetal E133G","trimetal-e133g","#ab9e5e"
"Trimetal E202K","trimetal-e202k","#797873"
"Trimetal E208C","trimetal-e208c","#dedac9"
"Trimetal E210D","trimetal-e210d","#d1ceb9"
"Trimetal E213B","trimetal-e213b","#f4eed1"
"Trimetal E217C","trimetal-e217c","#e9e1bc"
"Trimetal E218C","trimetal-e218c","#e5ddbc"
"Trimetal E220B","trimetal-e220b","#f1e7bd"
"Trimetal E220C","trimetal-e220c","#ebe1b9"
"Trimetal E221B","trimetal-e221b","#efe4bc"
"Trimetal E225B","trimetal-e225b","#f1e5b5"
"Trimetal E246B","trimetal-e246b","#f3e288"
"Trimetal E305B","trimetal-e305b","#ece9dd"
"Trimetal E308F","trimetal-e308f","#b0af9f"
"Trimetal E310B","trimetal-e310b","#f3eed7"
"Trimetal E324D","trimetal-e324d","#d1c89a"
"Trimetal E326B","trimetal-e326b","#ebe1ab"
"Trimetal E334H","trimetal-e334h","#979150"
"Trimetal E338B","trimetal-e338b","#f0e496"
"Trimetal E347C","trimetal-e347c","#edde80"
"Trimetal E416B","trimetal-e416b","#f1ebc9"
"Trimetal E426B","trimetal-e426b","#f1e8b1"
"Trimetal E429B","trimetal-e429b","#f0e7ad"
"Trimetal E429F","trimetal-e429f","#b8b37a"
"Trimetal E458H","trimetal-e458h","#9f9b01"
"Trimetal E472C","trimetal-e472c","#e5db34"
"Trimetal E503C","trimetal-e503c","#d3d3cc"
"Trimetal E507A","trimetal-e507a","#f1ebdb"
"Trimetal E513N","trimetal-e513n","#4e4c35"
"Trimetal E523L","trimetal-e523l","#737246"
"Trimetal E524J","trimetal-e524j","#8c8a5d"
"Trimetal E554C","trimetal-e554c","#e4dc65"
"Trimetal E562F","trimetal-e562f","#b4b42e"
"Trimetal E609B","trimetal-e609b","#efeedb"
"Trimetal E618C","trimetal-e618c","#d6d7b1"
"Trimetal E619M","trimetal-e619m","#5b5b38"
"Trimetal E629E","trimetal-e629e","#bdbd84"
"Trimetal E631L","trimetal-e631l","#737539"
"Trimetal E656E","trimetal-e656e","#bfbd3f"
"Trimetal E712C","trimetal-e712c","#dedec5"
"Trimetal E714B","trimetal-e714b","#e1e1c5"
"Trimetal E716E","trimetal-e716e","#c3c3a1"
"Trimetal E726C","trimetal-e726c","#dfe0ab"
"Trimetal E812K","trimetal-e812k","#787a62"
"Trimetal E829H","trimetal-e829h","#929860"
"Trimetal E842D","trimetal-e842d","#ced57c"
"Trimetal E853D","trimetal-e853d","#c0ca59"
"Trimetal E918C","trimetal-e918c","#d7d9b5"
"Trimetal F007A","trimetal-f007a","#ebeddb"
"Trimetal F051J","trimetal-f051j","#81922c"
"Trimetal F110L","trimetal-f110l","#6b6d5b"
"Trimetal F113B","trimetal-f113b","#e0e2c6"
"Trimetal F156G","trimetal-f156g","#8da42a"
"Trimetal F206C","trimetal-f206c","#d5d8ca"
"Trimetal F218B","trimetal-f218b","#e4e9c3"
"Trimetal F242H","trimetal-f242h","#889b49"
"Trimetal F308B","trimetal-f308b","#eceddb"
"Trimetal F308D","trimetal-f308d","#c6c9b9"
"Trimetal F308K","trimetal-f308k","#717461"
"Trimetal F312B","trimetal-f312b","#eaeed4"
"Trimetal F320C","trimetal-f320c","#dae3ba"
"Trimetal F343D","trimetal-f343d","#c0d580"
"Trimetal F355E","trimetal-f355e","#a2bd48"
"Trimetal F426H","trimetal-f426h","#8c9a66"
