"B5-B423","b5-b423","#7594af"
"B5-B424","b5-b424","#6e94a5"
"B5-B425","b5-b425","#6b93ab"
"B5-B426","b5-b426","#73909e"
"B5-B427","b5-b427","#6793ad"
"B5-B428 RAL 5024-GL","b5-b428-ral-5024-gl","#6691aa"
"B5-B429","b5-b429","#6d8b9e"
"B5-B430","b5-b430","#5b849b"
"B5-B431","b5-b431","#5f868d"
"B5-B432","b5-b432","#6a839c"
"B5-B433","b5-b433","#3f8799"
"B5-B434","b5-b434","#567d87"
"B5-B435","b5-b435","#647b93"
"B5-B436 RAL 5014-GL","b5-b436-ral-5014-gl","#637891"
"B5-B437","b5-b437","#637991"
"B5-B438","b5-b438","#5d7c8b"
"B5-B439","b5-b439","#6c7a7f"
"B5-B440","b5-b440","#3a7b8a"
"B5-B441","b5-b441","#3f7680"
"B5-B442","b5-b442","#5e7496"
"B5-B443","b5-b443","#596d80"
"B5-B444","b5-b444","#5c6b84"
"B5-B445","b5-b445","#4a7081"
"B5-B446","b5-b446","#516e7d"
"B5-B447","b5-b447","#506972"
"B5-B448","b5-b448","#4e6a71"
"B5-B449","b5-b449","#54696f"
"B5-B450","b5-b450","#4e697b"
"B5-B451","b5-b451","#4b7078"
"B5-B452","b5-b452","#46666f"
"B5-B453","b5-b453","#4a5f69"
"B5-B454","b5-b454","#43636d"
"B5-B455","b5-b455","#3e5b68"
"B5-B456","b5-b456","#37616f"
"B5-B457","b5-b457","#3f5d67"
"B5-B458","b5-b458","#3d5b65"
"B5-B459","b5-b459","#3b575e"
"B5-B460","b5-b460","#54575f"
"B5-B461","b5-b461","#425055"
"B5-B462","b5-b462","#185865"
"B5-B463","b5-b463","#385160"
"B5-B464","b5-b464","#355266"
"B5-B465","b5-b465","#385760"
"B5-B466","b5-b466","#2a4e5a"
"B5-B467","b5-b467","#204d5e"
"B5-B468","b5-b468","#2f4654"
"B5-B469","b5-b469","#214857"
"B5-B470","b5-b470","#1c485d"
"B5-B471","b5-b471","#184a59"
"B5-B472","b5-b472","#264359"
"B5-B473","b5-b473","#254057"
"B5-B474","b5-b474","#284359"
"B5-B475","b5-b475","#2a3f4b"
"B5-B476","b5-b476","#2c3947"
"B5-B477","b5-b477","#333a44"
"B5-B478 RAL 5008-GL","b5-b478-ral-5008-gl","#2c3740"
"B5-B479","b5-b479","#2d2d3a"
"B5-B480","b5-b480","#223a4a"
"B5-B481","b5-b481","#1e3d47"
"B5-B482","b5-b482","#113e4d"
"B5-B483","b5-b483","#143c4d"
"B5-B484","b5-b484","#2b3f4d"
"B5-B485","b5-b485","#273f49"
"B5-B486","b5-b486","#22344d"
"B5-B487","b5-b487","#253246"
"B5-B488","b5-b488","#0c334c"
"B5-B489","b5-b489","#083550"
"B5-B490","b5-b490","#173454"
"B5-B491","b5-b491","#282d3c"
"B5-B492","b5-b492","#3c334b"
"B5-B493","b5-b493","#12262d"
"B5-B494","b5-b494","#0f2736"
"B6-B495","b6-b495","#31b9c3"
"B6-B496","b6-b496","#46afb7"
"B6-B497","b6-b497","#4da5bc"
"B6-B498","b6-b498","#39a4a2"
"B6-B499","b6-b499","#00aabb"
"B6-B500","b6-b500","#2d9fb7"
"B6-B501","b6-b501","#3a9aae"
"B6-B502","b6-b502","#219eac"
"B6-B503","b6-b503","#559799"
"B6-B504","b6-b504","#0099a1"
"B6-B505","b6-b505","#33919f"
"B6-B506","b6-b506","#0098b0"
"B6-B507","b6-b507","#0094aa"
"B6-B508","b6-b508","#0095af"
"B6-B509","b6-b509","#17939d"
"B6-B510","b6-b510","#429192"
"B6-B511","b6-b511","#538480"
"B6-B512","b6-b512","#258e9a"
"B6-B513","b6-b513","#567f85"
"B6-B514","b6-b514","#497f84"
"B6-B515","b6-b515","#527875"
"B6-B516","b6-b516","#387b83"
"B6-B517","b6-b517","#0b7e82"
"B6-B518","b6-b518","#1c7c81"
"B6-B519","b6-b519","#007d85"
"B6-B520","b6-b520","#27787d"
"B6-B521","b6-b521","#007780"
"B6-B522","b6-b522","#00757b"
"B6-B523","b6-b523","#007c85"
"B6-B524","b6-b524","#008187"
"B6-B525","b6-b525","#007986"
"B6-B526","b6-b526","#346e77"
"B6-B527","b6-b527","#3b676a"
"B6-B528","b6-b528","#056c77"
"B6-B529","b6-b529","#006e7a"
"B6-B530","b6-b530","#006776"
"B6-B531","b6-b531","#0f606e"
"B6-B532","b6-b532","#135f68"
"B6-B533","b6-b533","#1c5b63"
"B6-B534","b6-b534","#005b66"
"B6-B535","b6-b535","#0e5360"
"B6-B536","b6-b536","#008ca9"
"B6-B537","b6-b537","#008f9f"
"B6-B538","b6-b538","#00889a"
"B6-B539","b6-b539","#00809a"
"B6-B540","b6-b540","#008693"
"B6-B541","b6-b541","#008492"
"B6-B542","b6-b542","#007e8e"
"B6-B543","b6-b543","#00798f"
"B6-B544","b6-b544","#007181"
"B6-B545","b6-b545","#006c78"
"B6-B546","b6-b546","#006c87"
"B6-B547","b6-b547","#00667c"
"B6-B548","b6-b548","#006272"
"B6-B549","b6-b549","#00616f"
"B6-B550","b6-b550","#00626a"
"B6-B551","b6-b551","#005e67"
"B6-B552","b6-b552","#005b62"
"B6-B553","b6-b553","#005564"
"B6-B554","b6-b554","#004555"
"B6-B555","b6-b555","#004953"
"B6-B556","b6-b556","#123e4c"
"B6-B557","b6-b557","#0b3b46"
"B6-B558","b6-b558","#00404a"
"B6-B559","b6-b559","#003f4d"
"B6-B560","b6-b560","#00495c"
"B6-B561","b6-b561","#00404d"
"B6-B562 RAL 5020-GL","b6-b562-ral-5020-gl","#003b44"
"B6-B563","b6-b563","#02353d"
"B6-B564","b6-b564","#008b91"
"B6-B565","b6-b565","#028c92"
"B6-B566","b6-b566","#218c8c"
"B6-B567","b6-b567","#05898a"
"B6-B568 RAL 5018-GL","b6-b568-ral-5018-gl","#1c8a8a"
"B6-B569","b6-b569","#0a8a8a"
"B6-B570","b6-b570","#1b8786"
"B6-B571","b6-b571","#198b8a"
"B6-B572","b6-b572","#098983"
"B6-B573","b6-b573","#008f88"
"B6-B574","b6-b574","#338c85"
"B6-B575 RAL 6033-GL","b6-b575-ral-6033-gl","#44857b"
"B6-B576","b6-b576","#438480"
"B6-B577","b6-b577","#268079"
"B6-B578","b6-b578","#1c7a75"
"B6-B579","b6-b579","#009291"
"B6-B580","b6-b580","#009796"
"B6-B581","b6-b581","#009092"
"B6-B582","b6-b582","#008f89"
"B6-B583","b6-b583","#008888"
"B6-B584","b6-b584","#008877"
"B6-B585","b6-b585","#008582"
"B6-B586","b6-b586","#008683"
"B6-B587","b6-b587","#007575"
"B6-B588","b6-b588","#007674"
"B6-B589 RAL 5021-GL","b6-b589-ral-5021-gl","#007573"
"B6-B590","b6-b590","#007272"
"B6-B591","b6-b591","#007373"
"B6-B592","b6-b592","#007171"
"B6-B593","b6-b593","#00757a"
"B6-B594","b6-b594","#007476"
"B6-B595","b6-b595","#00746b"
"B6-B596","b6-b596","#007174"
"B6-B597","b6-b597","#004e4e"
"B6-B598","b6-b598","#004b4c"
"B6-B599","b6-b599","#004547"
"B6-B600","b6-b600","#004040"
"G1-G001","g1-g001","#00766e"
"G1-G002","g1-g002","#306e69"
"G1-G003","g1-g003","#006a60"
"G1-G004","g1-g004","#1c5d5c"
"G1-G005","g1-g005","#005f5c"
"G1-G006","g1-g006","#285256"
"G1-G007","g1-g007","#1e5551"
"G1-G008","g1-g008","#00514e"
"G1-G009","g1-g009","#005753"
"G1-G10","g1-g10","#005650"
"G1-G011","g1-g011","#005551"
"G1-G012","g1-g012","#00524f"
"G1-G013","g1-g013","#004d48"
"G1-G014","g1-g014","#004d48"
"G1-G015","g1-g015","#004b43"
"G1-G016","g1-g016","#004842"
"G1-G017","g1-g017","#00423f"
"G1-G018","g1-g018","#00423f"
"G1-G019","g1-g019","#004441"
"G1-G020 RAL 6004-G0L","g1-g020-ral-6004-g0l","#01413d"
"G1-G021","g1-g021","#00423c"
"G1-G022","g1-g022","#002e2e"
"G1-G023","g1-g023","#00a387"
"G1-G024","g1-g024","#008875"
"G1-G025","g1-g025","#008672"
"G1-G026","g1-g026","#008370"
"G1-G027","g1-g027","#008974"
"G1-G028","g1-g028","#27806d"
"G1-G029","g1-g029","#007b65"
"G1-G030","g1-g030","#007b68"
"G1-G031","g1-g031","#008063"
"G1-G032","g1-g032","#007f62"
"G1-G033","g1-g033","#007c62"
"G1-G034","g1-g034","#00775b"
"G1-G035","g1-g035","#00735a"
"G1-G036","g1-g036","#00755c"
"G1-G037","g1-g037","#006d5a"
"G1-G038","g1-g038","#006657"
"G1-G039","g1-g039","#006958"
"G1-G040","g1-g040","#005b47"
"G1-G041 RAL 6026-G0L","g1-g041-ral-6026-g0l","#005b46"
"G1-G042","g1-g042","#005b45"
"G1-G043","g1-g043","#005642"
"G1-G044","g1-g044","#005a45"
"G1-G045","g1-g045","#005c46"
"G1-G046","g1-g046","#00503a"
"G1-G047","g1-g047","#00b589"
