"Black Box","MP33758","#0a1b20"
"Dopplebock","MP3364","#431906"
"Doric Brown","MP4418","#503434"
"Fudge Brownie","MP6063","#4f2414"
"Grey Gelding","MP3337","#9c7f59"
"Greytan","MP11315","#cfc4b1"
"James Brown","MP13200","#814830"
"Madrone","MP5239","#975b42"
"Mahogany Leather","MP655","#643624"
"Malva Mauve","MP12994","#774633"
"Mocha Latte","MP9189","#af845a"
"Modena Mud","MP607","#8e614a"
"Nutella","MP8137","#6c3b1e"
"Obsidian","MP4836","#4c2f30"
"Orso Brown","MP2804","#563225"
"Plantation Brown","MP2779","#886251"
"Pumpernickle","MP6179","#7d6461"
"Raw Brown","MP608","#9f684b"
"Rich Brown","MP10217","#42190d"
"Ruddock Brown","MP13262","#877363"
"SIS Brown","MP12184","#612c16"
"Smoked Hickory","MP6031","#9d7a61"
"Spanish Moss","MP3078","#705b3e"
"Spiced Brown","MP6645","#6a3a28"
"Stonebark","MP14148","#806452"
"Tantara","MP12567","#c6ac87"
"Teddy Bear","MP6952","#a9815e"
"Terminal Tan","MP4427","#a57d62"
"Town Brown","MP2949","#b09168"
"Unbriel","MP11721","#774b26"
"Unicor Brown","MP12718","#6e5657"
"Valrhona Cocoa","MP5132","#6d4a3e"
"Yearling","MP3265","#ae906c"
"Alabaster Met.","MP20086","#b9b199"
"Alpha Bronze Met.","MP20146","#ac9c7c"
"Ancient Bronze Met.","MP20308","#766566"
"Anodized Aluminum Met.","MP20140","#a79f8e"
"Art Deco Bronze Met.","MP20161","#836d65"
"Auguste Bronze Met.","MP20183","#766566"
"Bank Bronze Met.","MP20144","#83746f"
"Bell Metal Bronze Met.","MP20185","#857069"
"Bronze Doro Met.","MP36581","#a19a88"
"Bronze Metal Met.","MP20156","#795b42"
"Bronzeglow Met.","MP20084","#ae9a8c"
"Castell Bronze Met.","MP20157","#63452f"
"Champagne Brut Met.","MP20090","#aba18f"
"Charon Grey Met.","MP56301","#8f867d"
"Cingular Grey Met.","MP28072","#666362"
"Corinthian Bronze Met.","MP20189","#6c584f"
"Dark Bronze Met.","MP20303","#595553"
"Doric Bronze Met.","MP20307","#5a4d50"
"Duronodic 313 Met.","MP20190","#625150"
"Duronodic Bronze Met.","MP20147","#968674"
"Elston Brown Met.","MP29237","#b5a698"
"Equus Bronze Met.","MP20181","#6f595a"
"Etruscan Bronze Met.","MP20159","#957d62"
"Frosty Nickel Met.","MP20046","#b5a698"
"Grecian Bronze Met.","MP20305","#7b665d"
"Grey Taupe Met.","MP30835","#a19887"
"Gris Bronze Met","MP54906","#afa590"
"Gustave Grey Met.","MP51681","#7a736e"
"Hermes Bronze Met.","MP20160","#624d4e"
"Ivory Met.","MP20062","#baac9e"
"Leaded Bronze Met.","MP20149","#af9e89"
"Light Taupe Met.","MP20060","#c9bfa7"
"Marrone Met.","MP28919","#d0c2ac"
"Minoan Bronze Met.","MP20191","#7c665c"
"Mist Grey Met.","MP20044","#b6af9c"
"Misty Heather Met.","MP20031","#b3a29d"
"Mt. Sinai Bronze","MP11663","#a39783"
"Nouveau Bronze Met.","MP20162","#80655c"
"Old Gold Met.","MP20138","#b09a80"
"Pale Bronze Met.","MP27916","#b7b0a2"
"Patinated Bronze Met.","MP20306","#312222"
"Pearl Silver Met.","MP20082","#c7bda3"
"Pewter Tankard Met.","MP20087","#a19192"
"Phosphor Bronze Met.","MP20304","#6a554d"
"Platinum Met.","MP20083","#c1b7aa"
"Pumice Met.","MP20037","#bbb2aa"
"Remington Bronze Met.","MP20153","#653c2d"
"Russell Bronze Met.","MP20182","#7b6566"
"Sandalwood Met.","MP20051","#c8b99b"
"Shadow Bronze Met.","MP20148","#9f8e7a"
"Sparkle Bronze Met.","MP20184","#7b665f"
"Statuary Bronze Met.","MP20158","#85655c"
"Taunton Taupe Met.","MP20145","#c6b79d"
"Touch Of Taupe Met.","MP20088","#aea58e"
"Warm Gray Met.","MP20186","#93897e"
"Weathered Bronze Met.","MP20155","#775b4a"
"Yuma Tan Met.","MP20085","#b2a796"
"American Blue","MP28073","#005886"
"Amethyst Violet","MP25542","#693e82"
"Anodic Black","MP41335SP","#25161d"
"Apricot","MP29496","#ee9a70"
"Aztec Copper","MP46402SP","#c6694b"
"Aztec Gold","MP46401SP","#d99c52"
