"Scala 78-09-03","scala-78-09-03","#dbe6db"
"Scala 78-09-06","scala-78-09-06","#cce4d7"
"Scala 78-12-18","scala-78-12-18","#55a68a"
"Scala 78-12-24","scala-78-12-24","#007764"
"Scala 81-03-03","scala-81-03-03","#e6ebe4"
"Scala 81-06-03","scala-81-06-03","#e6eee0"
"Scala 81-06-09","scala-81-06-09","#cbd4c4"
"Scala 81-06-16","scala-81-06-16","#93a393"
"Scala 81-09-03","scala-81-09-03","#e3eed2"
"Scala 81-09-09","scala-81-09-09","#c5d8b7"
"Scala 81-09-15","scala-81-09-15","#9bb795"
"Scala 81-09-21","scala-81-09-21","#638269"
"Scala 81-12-06","scala-81-12-06","#c9e7ad"
"Scala 81-12-12","scala-81-12-12","#a4ca94"
"Scala 81-18-18","scala-81-18-18","#4aa961"
"Scala 81-18-30","scala-81-18-30","#00613b"
"Scala 84-06-03","scala-84-06-03","#e6eada"
"Scala 84-09-09","scala-84-09-09","#dce2c3"
"Scala 84-15-09","scala-84-15-09","#d3e8aa"
"Scala 84-15-12","scala-84-15-12","#c1de97"
"Scala 84-18-18","scala-84-18-18","#72c75b"
"Scala 84-21-03","scala-84-21-03","#daebc7"
"Scala 84-21-06","scala-84-21-06","#d4e6b9"
"Scala 84-21-12","scala-84-21-12","#bbe17a"
"Scala 87-03-03","scala-87-03-03","#eaebe1"
"Scala 87-03-12","scala-87-03-12","#babcb1"
"Scala 87-03-21","scala-87-03-21","#7c7e74"
"Scala 87-03-27","scala-87-03-27","#54554d"
"Scala 87-03-30","scala-87-03-30","#42443e"
"Scala 87-06-06","scala-87-06-06","#dfe2ca"
"Scala 87-09-03","scala-87-09-03","#e8edc8"
"Scala 87-09-06","scala-87-09-06","#dce5ae"
"Scala 87-09-12","scala-87-09-12","#bdc497"
"Scala 87-12-09","scala-87-12-09","#c5d88b"
"Scala 87-12-18","scala-87-12-18","#94a05f"
"Scala 87-15-15","scala-87-15-15","#a3b93e"
"Scala 90-06-03","scala-90-06-03","#ebead8"
"Scala 90-09-15","scala-90-09-15","#b0af7c"
"Scala 90-09-27","scala-90-09-27","#535843"
"Scala 90-12-06","scala-90-12-06","#e1e2af"
"Scala 90-12-09","scala-90-12-09","#d3d49c"
"Scala 90-12-21","scala-90-12-21","#7e7c2d"
"Scala 90-15-06","scala-90-15-06","#dce279"
"Scala 90-18-12","scala-90-18-12","#c2cb23"
"Scala 93-03-03","scala-93-03-03","#e9ebe8"
"Scala 93-03-12","scala-93-03-12","#d9d3bc"
"Scala 93-03-18","scala-93-03-18","#b2ab91"
"Scala 93-06-09","scala-93-06-09","#ede8d6"
"Scala 93-06-27","scala-93-06-27","#7a775c"
"Scala 93-09-12","scala-93-09-12","#e2e0b5"
"Scala 93-09-33","scala-93-09-33","#534e34"
"Scala 93-12-21","scala-93-12-21","#b8ac68"
"Scala 96-12-01","scala-96-12-01","#f0ecdb"
"Scala 96-12-03","scala-96-12-03","#ece8cf"
"Scala 96-12-09","scala-96-12-09","#e2d493"
"Scala 96-12-21","scala-96-12-21","#86773d"
"Scala 96-15-06","scala-96-15-06","#eee1b1"
"Scala 96-18-01","scala-96-18-01","#f1ecd6"
"Scala 96-18-02","scala-96-18-02","#f4e9bc"
"Scala 96-18-03","scala-96-18-03","#f5e6a8"
"Scala 96-18-06","scala-96-18-06","#f1df94"
"Scala 96-18-12","scala-96-18-12","#e1c75d"
"Scala 96-18-18","scala-96-18-18","#a8951d"
"Scala 96-24-09","scala-96-24-09","#efcc3f"
"Scala 99-00-03","scala-99-00-03","#ecece6"
"Scala 99-00-06","scala-99-00-06","#e7e7e3"
"Scala 99-00-12","scala-99-00-12","#d4d5d3"
"Scala 99-00-18","scala-99-00-18","#c1c2c2"
"Scala 99-00-24","scala-99-00-24","#adafaf"
"Scala 99-00-30","scala-99-00-30","#979899"
"Scala 99-00-36","scala-99-00-36","#828383"
"Scala 99-00-42","scala-99-00-42","#737576"
"Scala 99-00-48","scala-99-00-48","#5f6063"
"Scala 99-00-57","scala-99-00-57","#47474a"
