"Baumann-Prase 1-W","1-w","#f2eee6"
"Baumann-Prase 748-1 Cg 6","748-1-cg-6","#d8cda9"
"Baumann-Prase 749-3 Cg 6","749-3-cg-6","#bdb088"
"Baumann-Prase 750-5 Cg 6","750-5-cg-6","#a5986c"
"Baumann-Prase 751-7 Cg 6","751-7-cg-6","#8b7d52"
"Baumann-Prase 752-9 Cg 6","752-9-cg-6","#736843"
"Baumann-Prase 753-2 Cg 7","753-2-cg-7","#c6bba0"
"Baumann-Prase 754-4 Cg 7","754-4-cg-7","#aba288"
"Baumann-Prase 755-6 Cg 7","755-6-cg-7","#928565"
"Baumann-Prase 756-8 Cg 7","756-8-cg-7","#746849"
"Baumann-Prase 757-10 Cg 7","757-10-cg-7","#605740"
"Baumann-Prase 758-3 Cg 8","758-3-cg-8","#afa283"
"Baumann-Prase 759-5 Cg 8","759-5-cg-8","#8f856c"
"Baumann-Prase 760-7 Cg 8","760-7-cg-8","#6c6852"
"Baumann-Prase 761-9 Cg 8","761-9-cg-8","#625d49"
"Baumann-Prase 762-11 Cg 8","762-11-cg-8","#4b4536"
"Baumann-Prase 763-1 Cg-Cgg","763-1-cg-cgg","#dbd995"
"Baumann-Prase 764-2 Cg-Cgg","764-2-cg-cgg","#c4cb6e"
"Baumann-Prase 765-3 Cg-Cgg","765-3-cg-cgg","#bbc551"
"Baumann-Prase 766-4 Cg-Cgg","766-4-cg-cgg","#a3af40"
"Baumann-Prase 767-2 Cg-Cgg 1","767-2-cg-cgg-1","#ceca6b"
"Baumann-Prase 768-3 Cg-Cgg 1","768-3-cg-cgg-1","#bfbf5b"
"Baumann-Prase 769-4 Cg-Cgg 1","769-4-cg-cgg-1","#b4b349"
"Baumann-Prase 770-5 Cg-Cgg 1","770-5-cg-cgg-1","#aaab3c"
"Baumann-Prase 771-2 Cg-Cgg 2","771-2-cg-cgg-2","#cfc780"
"Baumann-Prase 772-3 Cg-Cgg 2","772-3-cg-cgg-2","#c1bb6b"
"Baumann-Prase 773-4 Cg-Cgg 2","773-4-cg-cgg-2","#b4ad59"
"Baumann-Prase 774-5 Cg-Cgg 2","774-5-cg-cgg-2","#a69e46"
"Baumann-Prase 775-6 Cg-Cgg 2","775-6-cg-cgg-2","#9b9440"
"Baumann-Prase 776-3 Cg-Cgg 3","776-3-cg-cgg-3","#c2b574"
"Baumann-Prase 777-5 Cg-Cgg 3","777-5-cg-cgg-3","#ab9b56"
"Baumann-Prase 778-7 Cg-Cgg 3","778-7-cg-cgg-3","#978c48"
"Baumann-Prase 779-4 Cg-Cgg 4","779-4-cg-cgg-4","#bdad70"
"Baumann-Prase 780-6 Cg-Cgg 4","780-6-cg-cgg-4","#a19154"
"Baumann-Prase 781-8 Cg-Cgg 4","781-8-cg-cgg-4","#887943"
"Baumann-Prase 782-3 Cg-Cgg 5","782-3-cg-cgg-5","#c3b789"
"Baumann-Prase 783-5 Cg-Cgg 5","783-5-cg-cgg-5","#a39766"
"Baumann-Prase 784-7 Cg-Cgg 5","784-7-cg-cgg-5","#8b7f54"
"Baumann-Prase 785-9 Cg-Cgg 5","785-9-cg-cgg-5","#776946"
"Baumann-Prase 786-10 Cg-Cgg 6","786-10-cg-cgg-6","#665d42"
"Baumann-Prase 787-1 Cgg","787-1-cgg","#d8dea5"
"Baumann-Prase 788-2 Cgg","788-2-cgg","#c4d17f"
"Baumann-Prase 789-3 Cgg","789-3-cgg","#adc157"
"Baumann-Prase 790-4 Cgg","790-4-cgg","#a9b340"
"Baumann-Prase 791-2 Cgg 1","791-2-cgg-1","#cbcf90"
"Baumann-Prase 792-3 Cgg 1","792-3-cgg-1","#b3c46d"
"Baumann-Prase 793-4 Cgg 1","793-4-cgg-1","#adb951"
"Baumann-Prase 794-5 Cgg 1","794-5-cgg-1","#a0ad43"
"Baumann-Prase 795-2 Cgg 2","795-2-cgg-2","#cbce8f"
"Baumann-Prase 796-3 Cgg 2","796-3-cgg-2","#b5b974"
"Baumann-Prase 797-4 Cgg 2","797-4-cgg-2","#abb25c"
"Baumann-Prase 798-5 Cgg 2","798-5-cgg-2","#a0a452"
"Baumann-Prase 799-6 Cgg 2","799-6-cgg-2","#939844"
"Baumann-Prase 800-1 Cgg 3","800-1-cgg-3","#d7d2ac"
"Baumann-Prase 801-2 Cgg 3","801-2-cgg-3","#ccc999"
"Baumann-Prase 802-3 Cgg 3","802-3-cgg-3","#bebe88"
"Baumann-Prase 803-4 Cgg 3","803-4-cgg-3","#aba96a"
"Baumann-Prase 804-5 Cgg 3","804-5-cgg-3","#9d9e5e"
"Baumann-Prase 805-6 Cgg 3","805-6-cgg-3","#918d4e"
"Baumann-Prase 806-7 Cgg 3","806-7-cgg-3","#837b42"
"Baumann-Prase 807-2 Cgg 4","807-2-cgg-4","#ccc39b"
"Baumann-Prase 808-4 Cgg 4","808-4-cgg-4","#b0a876"
"Baumann-Prase 809-6 Cgg 4","809-6-cgg-4","#998f5a"
"Baumann-Prase 810-8 Cgg 4","810-8-cgg-4","#7f773f"
"Baumann-Prase 811-3 Cgg 5","811-3-cgg-5","#c9c298"
"Baumann-Prase 812-5 Cgg 5","812-5-cgg-5","#a7a273"
"Baumann-Prase 813-7 Cgg 5","813-7-cgg-5","#8d8757"
"Baumann-Prase 814-9 Cgg 5","814-9-cgg-5","#777347"
"Baumann-Prase 815-2 Cgg 6","815-2-cgg-6","#ccc4a0"
"Baumann-Prase 816-4 Cgg 6","816-4-cgg-6","#aaa47c"
"Baumann-Prase 817-6 Cgg 6","817-6-cgg-6","#948e6a"
"Baumann-Prase 818-8 Cgg 6","818-8-cgg-6","#807b55"
"Baumann-Prase 819-10 Cgg 6","819-10-cgg-6","#626042"
"Baumann-Prase 820-1 Cgg 7","820-1-cgg-7","#cac5a5"
"Baumann-Prase 821-3 Cgg 7","821-3-cgg-7","#bfb99b"
"Baumann-Prase 822-5 Cgg 7","822-5-cgg-7","#948e71"
"Baumann-Prase 823-7 Cgg 7","823-7-cgg-7","#867f62"
"Baumann-Prase 824-9 Cgg 7","824-9-cgg-7","#6a6550"
"Baumann-Prase 825-11 Cgg 7","825-11-cgg-7","#535141"
"Baumann-Prase 826-2 Cgg-Gcc","826-2-cgg-gcc","#b8cd7a"
"Baumann-Prase 827-3 Cgg-Gcc","827-3-cgg-gcc","#a5c059"
"Baumann-Prase 828-4 Cgg-Gcc","828-4-cgg-gcc","#8cad48"
"Baumann-Prase 829-5 Cgg-Gcc","829-5-cgg-gcc","#8ba245"
"Baumann-Prase 830-2 Cgg-Gcc 1","830-2-cgg-gcc-1","#bfd191"
"Baumann-Prase 831-3 Cgg-Gcc 1","831-3-cgg-gcc-1","#b8c67b"
"Baumann-Prase 832-4 Cgg-Gcc 1","832-4-cgg-gcc-1","#b4bf6d"
"Baumann-Prase 833-5 Cgg-Gcc 1","833-5-cgg-gcc-1","#a3b352"
"Baumann-Prase 834-6 Cgg-Gcc 1","834-6-cgg-gcc-1","#8b9c4b"
"Baumann-Prase 835-3 Cgg-Gcc 2","835-3-cgg-gcc-2","#c2c789"
"Baumann-Prase 836-5 Cgg-Gcc 2","836-5-cgg-gcc-2","#a0ad5c"
"Baumann-Prase 837-7 Cgg-Gcc 2","837-7-cgg-gcc-2","#8a9144"
"Baumann-Prase 838-2 Cgg-Gcc 3","838-2-cgg-gcc-3","#c7cea5"
"Baumann-Prase 839-4 Cgg-Gcc 3","839-4-cgg-gcc-3","#a3ac72"
"Baumann-Prase 840-6 Cgg-Gcc 3","840-6-cgg-gcc-3","#929c5e"
"Baumann-Prase 841-8 Cgg-Gcc 3","841-8-cgg-gcc-3","#7f8446"
"Baumann-Prase 842-3 Cgg-Gcc 4","842-3-cgg-gcc-4","#b8b57f"
"Baumann-Prase 843-5 Cgg-Gcc 4","843-5-cgg-gcc-4","#a1a270"
"Baumann-Prase 844-7 Cgg-Gcc 4","844-7-cgg-gcc-4","#828552"
"Baumann-Prase 845-9 Cgg-Gcc 4","845-9-cgg-gcc-4","#6d7044"
"Baumann-Prase 846-4 Cgg-Gcc 5","846-4-cgg-gcc-5","#b3b88d"
"Baumann-Prase 847-6 Cgg-Gcc 5","847-6-cgg-gcc-5","#8f9265"
"Baumann-Prase 848-8 Cgg-Gcc 5","848-8-cgg-gcc-5","#71784e"
"Baumann-Prase 849-10 Cgg-Gcc 5","849-10-cgg-gcc-5","#646b43"
"Baumann-Prase 850-1 Gcc","850-1-gcc","#ccd8a1"
"Baumann-Prase 851-2 Gcc","851-2-gcc","#b6ca86"
"Baumann-Prase 852-3 Gcc","852-3-gcc","#a1bb64"
"Baumann-Prase 853-4 Gcc","853-4-gcc","#98b650"
"Baumann-Prase 854-5 Gcc","854-5-gcc","#88a948"
"Baumann-Prase 855-2 Gcc 1","855-2-gcc-1","#c0d39a"
"Baumann-Prase 856-3 Gcc 1","856-3-gcc-1","#aeca86"
"Baumann-Prase 857-4 Gcc 1","857-4-gcc-1","#97b969"
"Baumann-Prase 858-5 Gcc 1","858-5-gcc-1","#8bb05c"
"Baumann-Prase 859-6 Gcc 1","859-6-gcc-1","#77a651"
"Baumann-Prase 860-2 Gcc 2","860-2-gcc-2","#c2d0a0"
"Baumann-Prase 861-3 Gcc 2","861-3-gcc-2","#bbc997"
"Baumann-Prase 862-4 Gcc 2","862-4-gcc-2","#a3b77d"
"Baumann-Prase 863-5 Gcc 2","863-5-gcc-2","#92ab68"
"Baumann-Prase 864-6 Gcc 2","864-6-gcc-2","#84a15f"
"Baumann-Prase 865-7 Gcc 2","865-7-gcc-2","#72914f"
"Baumann-Prase 866-1 Gcc 3","866-1-gcc-3","#d6dcbd"
"Baumann-Prase 867-2 Gcc 3","867-2-gcc-3","#c4d0ab"
"Baumann-Prase 868-3 Gcc 3","868-3-gcc-3","#b8c598"
"Baumann-Prase 869-4 Gcc 3","869-4-gcc-3","#a6b989"
"Baumann-Prase 870-5 Gcc 3","870-5-gcc-3","#9aae79"
"Baumann-Prase 871-6 Gcc 3","871-6-gcc-3","#849c68"
"Baumann-Prase 872-7 Gcc 3","872-7-gcc-3","#748e58"
"Baumann-Prase 873-8 Gcc 3","873-8-gcc-3","#6c834e"
"Baumann-Prase 874-3 Gcc 4","874-3-gcc-4","#b3be97"
"Baumann-Prase 875-5 Gcc 4","875-5-gcc-4","#92a473"
"Baumann-Prase 876-7 Gcc 4","876-7-gcc-4","#6e8654"
"Baumann-Prase 877-9 Gcc 4","877-9-gcc-4","#5a6f49"
"Baumann-Prase 878-2 Gcc 5","878-2-gcc-5","#c6c8a9"
"Baumann-Prase 879-4 Gcc 5","879-4-gcc-5","#a0a984"
"Baumann-Prase 880-6 Gcc 5","880-6-gcc-5","#868f6c"
"Baumann-Prase 881-8 Gcc 5","881-8-gcc-5","#6d7958"
"Baumann-Prase 882-10 Gcc 5","882-10-gcc-5","#596445"
"Baumann-Prase 883-1 Gcc 6","883-1-gcc-6","#c5c6ac"
"Baumann-Prase 884-3 Gcc 6","884-3-gcc-6","#b0b399"
"Baumann-Prase 885-5 Gcc 6","885-5-gcc-6","#919a81"
"Baumann-Prase 886-7 Gcc 6","886-7-gcc-6","#727e64"
"Baumann-Prase 887-9 Gcc 6","887-9-gcc-6","#636853"
"Baumann-Prase 888-11 Gcc 6","888-11-gcc-6","#49553f"
"Baumann-Prase 889-2 Gc-Gcc","889-2-gc-gcc","#b3d08e"
"Baumann-Prase 890-3 Gc-Gcc","890-3-gc-gcc","#9dbf77"
"Baumann-Prase 891-4 Gc-Gcc","891-4-gc-gcc","#93ba6a"
"Baumann-Prase 892-5 Gc-Gcc","892-5-gc-gcc","#72b15a"
"Baumann-Prase 893-3 Gc-Gcc 1","893-3-gc-gcc-1","#9ecb7e"
"Baumann-Prase 894-4 Gc-Gcc 1","894-4-gc-gcc-1","#88bb65"
"Baumann-Prase 895-5 Gc-Gcc 1","895-5-gc-gcc-1","#78ac52"
"Baumann-Prase 896-6 Gc-Gcc 1","896-6-gc-gcc-1","#639f51"
"Baumann-Prase 897-3 Gc-Gcc 2","897-3-gc-gcc-2","#a3c484"
"Baumann-Prase 898-5 Gc-Gcc 2","898-5-gc-gcc-2","#7dab65"
"Baumann-Prase 899-7 Gc-Gcc 2","899-7-gc-gcc-2","#699b55"
"Baumann-Prase 900-4 Gc-Gcc 3","900-4-gc-gcc-3","#97ae81"
"Baumann-Prase 901-6 Gc-Gcc 3","901-6-gc-gcc-3","#7a9864"
"Baumann-Prase 902-8 Gc-Gcc 3","902-8-gc-gcc-3","#698d54"
"Baumann-Prase 903-5 Gc-Gcc 4","903-5-gc-gcc-4","#8ea67d"
"Baumann-Prase 904-7 Gc-Gcc 4","904-7-gc-gcc-4","#738c5e"
"Baumann-Prase 905-9 Gc-Gcc 4","905-9-gc-gcc-4","#597045"
"Baumann-Prase 906-10 Gc-Gcc 5","906-10-gc-gcc-5","#4b5d46"
"Baumann-Prase 907-1 Gc","907-1-gc","#cadab6"
"Baumann-Prase 908-2 Gc","908-2-gc","#accb9b"
"Baumann-Prase 909-3 Gc","909-3-gc","#95be85"
"Baumann-Prase 910-4 Gc","910-4-gc","#7ead6c"
"Baumann-Prase 911-5 Gc","911-5-gc","#73ad64"
"Baumann-Prase 912-6 Gc","912-6-gc","#589851"
"Baumann-Prase 913-2 Gc 1","913-2-gc-1","#b7d1a7"
"Baumann-Prase 914-3 Gc 1","914-3-gc-1","#96be8b"
"Baumann-Prase 915-4 Gc 1","915-4-gc-1","#84af75"
"Baumann-Prase 916-5 Gc 1","916-5-gc-1","#78a970"
"Baumann-Prase 917-6 Gc 1","917-6-gc-1","#64a162"
"Baumann-Prase 918-7 Gc 1","918-7-gc-1","#569152"
"Baumann-Prase 919-1 Gc 2","919-1-gc-2","#d4dfc2"
"Baumann-Prase 920-2 Gc 2","920-2-gc-2","#b1c6a0"
"Baumann-Prase 921-3 Gc 2","921-3-gc-2","#a9c197"
"Baumann-Prase 922-4 Gc 2","922-4-gc-2","#96b183"
"Baumann-Prase 923-5 Gc 2","923-5-gc-2","#7fa271"
"Baumann-Prase 924-6 Gc 2","924-6-gc-2","#6e945b"
"Baumann-Prase 925-7 Gc 2","925-7-gc-2","#5b8f5b"
"Baumann-Prase 926-8 Gc 2","926-8-gc-2","#4d8a4a"
"Baumann-Prase 927-3 Gc 3","927-3-gc-3","#a7bc9d"
"Baumann-Prase 928-5 Gc 3","928-5-gc-3","#789870"
"Baumann-Prase 929-7 Gc 3","929-7-gc-3","#5c7e58"
"Baumann-Prase 930-9 Gc 3","930-9-gc-3","#417e46"
"Baumann-Prase 931-2 Gc 4","931-2-gc-4","#b8c4a7"
"Baumann-Prase 932-4 Gc 4","932-4-gc-4","#90a889"
"Baumann-Prase 933-6 Gc 4","933-6-gc-4","#748c6a"
"Baumann-Prase 934-8 Gc 4","934-8-gc-4","#63785c"
"Baumann-Prase 935-10 Gc 4","935-10-gc-4","#476445"
"Baumann-Prase 936-1 Gc 5","936-1-gc-5","#c7cfb9"
"Baumann-Prase 937-3 Gc 5","937-3-gc-5","#9dae97"
"Baumann-Prase 938-5 Gc 5","938-5-gc-5","#8c9d86"
"Baumann-Prase 939-7 Gc 5","939-7-gc-5","#6c7d69"
"Baumann-Prase 940-9 Gc 5","940-9-gc-5","#53634f"
"Baumann-Prase 941-11 Gc 5","941-11-gc-5","#454d3d"
"Baumann-Prase 942-2 G","942-2-g","#b1d2a9"
"Baumann-Prase 943-3 G","943-3-g","#93c292"
"Baumann-Prase 944-4 G","944-4-g","#79b177"
"Baumann-Prase 945-5 G","945-5-g","#5baa6a"
"Baumann-Prase 946-6 G","946-6-g","#3fa260"
"Baumann-Prase 947-3 G 1","947-3-g-1","#99c493"
"Baumann-Prase 948-5 G 1","948-5-g-1","#61ac79"
"Baumann-Prase 949-7 G 1","949-7-g-1","#509f67"
"Baumann-Prase 950-4 G 2","950-4-g-2","#89b689"
"Baumann-Prase 951-6 G 2","951-6-g-2","#6d9f75"
"Baumann-Prase 952-8 G 2","952-8-g-2","#358555"
"Baumann-Prase 953-5 G 3","953-5-g-3","#7ea989"
"Baumann-Prase 954-7 G 3","954-7-g-3","#619170"
"Baumann-Prase 955-9 G 3","955-9-g-3","#37684e"
"Baumann-Prase 956-10 G 4","956-10-g-4","#3c5b4b"
"Baumann-Prase 1002-5 Gb-Gbb 3","1002-5-gb-gbb-3","#79a193"
"Baumann-Prase 1003-7 Gb-Gbb 3","1003-7-gb-gbb-3","#507f6f"
"Baumann-Prase 1004-9 Gb-Gbb 3","1004-9-gb-gbb-3","#2b695f"
"Baumann-Prase 1005-10 Gb-Gbb 4","1005-10-gb-gbb-4","#285853"
"Baumann-Prase 991-2 Gb-Gbb","991-2-gb-gbb","#a5d5bf"
"Baumann-Prase 992-3 Gb-Gbb","992-3-gb-gbb","#79c1a6"
"Baumann-Prase 993-4 Gb-Gbb","993-4-gb-gbb","#5cb598"
"Baumann-Prase 994-5 Gb-Gbb","994-5-gb-gbb","#44b08c"
"Baumann-Prase 995-6 Gb-Gbb","995-6-gb-gbb","#44957c"
"Baumann-Prase 996-3 Gb-Gbb 1","996-3-gb-gbb-1","#8dbdad"
"Baumann-Prase 997-5 Gb-Gbb 1","997-5-gb-gbb-1","#68a68e"
"Baumann-Prase 998-7 Gb-Gbb 1","998-7-gb-gbb-1","#338871"
"Baumann-Prase 999-4 Gb-Gbb 2","999-4-gb-gbb-2","#85b6a4"
"Baumann-Prase 1000-6 Gb-Gbb 2","1000-6-gb-gbb-2","#599684"
"Baumann-Prase 1001-8 Gb-Gbb 2","1001-8-gb-gbb-2","#347a69"
"Baumann-Prase 957-1 Gb","957-1-gb","#c3dfc8"
"Baumann-Prase 958-2 Gb","958-2-gb","#a3d4b5"
"Baumann-Prase 959-3 Gb","959-3-gb","#88c5a3"
"Baumann-Prase 960-4 Gb","960-4-gb","#6cab85"
"Baumann-Prase 961-5 Gb","961-5-gb","#51ac7b"
"Baumann-Prase 962-6 Gb","962-6-gb","#3c9b6c"
"Baumann-Prase 963-2 Gb 1","963-2-gb-1","#b2d6be"
"Baumann-Prase 964-3 Gb 1","964-3-gb-1","#95c7ab"
"Baumann-Prase 965-4 Gb 1","965-4-gb-1","#81b695"
"Baumann-Prase 966-5 Gb 1","966-5-gb-1","#6da98a"
"Baumann-Prase 967-6 Gb 1","967-6-gb-1","#579b7a"
"Baumann-Prase 968-7 Gb 1","968-7-gb-1","#308862"
"Baumann-Prase 969-1 Gb 2","969-1-gb-2","#d4dcc9"
"Baumann-Prase 970-2 Gb 2","970-2-gb-2","#b4ccb7"
"Baumann-Prase 971-3 Gb 2","971-3-gb-2","#a0c0a6"
"Baumann-Prase 972-4 Gb 2","972-4-gb-2","#8cb197"
"Baumann-Prase 973-5 Gb 2","973-5-gb-2","#78a78b"
"Baumann-Prase 974-6 Gb 2","974-6-gb-2","#67967d"
"Baumann-Prase 975-7 Gb 2","975-7-gb-2","#4e896b"
"Baumann-Prase 976-8 Gb 2","976-8-gb-2","#2c7355"
"Baumann-Prase 977-3 Gb 3","977-3-gb-3","#9ab6a3"
"Baumann-Prase 978-5 Gb 3","978-5-gb-3","#749885"
"Baumann-Prase 979-7 Gb 3","979-7-gb-3","#4f7d6a"
"Baumann-Prase 980-9 Gb 3","980-9-gb-3","#286e4e"
"Baumann-Prase 981-2 Gb 4","981-2-gb-4","#b2c9b8"
"Baumann-Prase 982-4 Gb 4","982-4-gb-4","#7c9e8d"
"Baumann-Prase 983-6 Gb 4","983-6-gb-4","#638577"
"Baumann-Prase 984-8 Gb 4","984-8-gb-4","#426f5c"
"Baumann-Prase 985-10 Gb 4","985-10-gb-4","#335944"
"Baumann-Prase 986-3 Gb 5","986-3-gb-5","#9eb4a9"
"Baumann-Prase 987-5 Gb 5","987-5-gb-5","#778b7e"
"Baumann-Prase 988-7 Gb 5","988-7-gb-5","#587468"
"Baumann-Prase 989-9 Gb 5","989-9-gb-5","#416155"
"Baumann-Prase 990-11 Gb 5","990-11-gb-5","#2e4941"
"Baumann-Prase 1006-1 Gbb","1006-1-gbb","#bbdacd"
"Baumann-Prase 1007-2 Gbb","1007-2-gbb","#96cbbd"
"Baumann-Prase 1008-3 Gbb","1008-3-gbb","#80c8b5"
"Baumann-Prase 1009-4 Gbb","1009-4-gbb","#58b19f"
"Baumann-Prase 1010-5 Gbb","1010-5-gbb","#48aa98"
"Baumann-Prase 1011-6 Gbb","1011-6-gbb","#359487"
"Baumann-Prase 1012-7 Gbb","1012-7-gbb","#3f8677"
"Baumann-Prase 1013-2 Gbb 1","1013-2-gbb-1","#a9d0c8"
"Baumann-Prase 1014-3 Gbb 1","1014-3-gbb-1","#8ec3bd"
"Baumann-Prase 1015-4 Gbb 1","1015-4-gbb-1","#77b4ac"
"Baumann-Prase 1016-5 Gbb 1","1016-5-gbb-1","#5cac9d"
"Baumann-Prase 1017-6 Gbb 1","1017-6-gbb-1","#5c998f"
"Baumann-Prase 1018-7 Gbb 1","1018-7-gbb-1","#4f8c81"
"Baumann-Prase 1019-8 Gbb 1","1019-8-gbb-1","#3b7977"
"Baumann-Prase 1020-3 Gbb 2","1020-3-gbb-2","#98bfb6"
"Baumann-Prase 1021-5 Gbb 2","1021-5-gbb-2","#66a498"
"Baumann-Prase 1022-7 Gbb 2","1022-7-gbb-2","#4a887d"
"Baumann-Prase 1023-9 Gbb 2","1023-9-gbb-2","#277066"
"Baumann-Prase 1024-2 Gbb 3","1024-2-gbb-3","#a7c4bd"
"Baumann-Prase 1025-4 Gbb 3","1025-4-gbb-3","#80a7a5"
"Baumann-Prase 1026-6 Gbb 3","1026-6-gbb-3","#658d8a"
"Baumann-Prase 1027-8 Gbb 3","1027-8-gbb-3","#476e6f"
"Baumann-Prase 1028-10 Gbb 3","1028-10-gbb-3","#345659"
"Baumann-Prase 1029-1 Gbb 4","1029-1-gbb-4","#c5d0cc"
"Baumann-Prase 1030-3 Gbb 4","1030-3-gbb-4","#98a7a4"
"Baumann-Prase 1031-5 Gbb 4","1031-5-gbb-4","#7c918b"
"Baumann-Prase 1032-7 Gbb 4","1032-7-gbb-4","#697f7d"
"Baumann-Prase 1033-9 Gbb 4","1033-9-gbb-4","#425c5b"
"Baumann-Prase 1034-11 Gbb 4","1034-11-gbb-4","#364a4b"
"Baumann-Prase 1035-2 Gbb-Bgg","1035-2-gbb-bgg","#96cec8"
"Baumann-Prase 1036-3 Gbb-Bgg","1036-3-gbb-bgg","#6fbebc"
"Baumann-Prase 1037-4 Gbb-Bgg","1037-4-gbb-bgg","#52aeaf"
"Baumann-Prase 1038-5 Gbb-Bgg","1038-5-gbb-bgg","#31a2a8"
"Baumann-Prase 1039-6 Gbb-Bgg","1039-6-gbb-bgg","#348d90"
"Baumann-Prase 1040-7 Gbb-Bgg","1040-7-gbb-bgg","#307b84"
"Baumann-Prase 1041-4 Gbb-Bgg 1","1041-4-gbb-bgg-1","#7dabb5"
"Baumann-Prase 1042-6 Gbb-Bgg 1","1042-6-gbb-bgg-1","#4f8c9f"
"Baumann-Prase 1043-8 Gbb-Bgg 1","1043-8-gbb-bgg-1","#357186"
"Baumann-Prase 1044-3 Gbb-Bgg 2","1044-3-gbb-bgg-2","#9fc0c1"
"Baumann-Prase 1045-5 Gbb-Bgg 2","1045-5-gbb-bgg-2","#779fa8"
"Baumann-Prase 1046-7 Gbb-Bgg 2","1046-7-gbb-bgg-2","#4e7b8a"
"Baumann-Prase 1047-9 Gbb-Bgg 2","1047-9-gbb-bgg-2","#3b6975"
"Baumann-Prase 1048-4 Gbb-Bgg 3","1048-4-gbb-bgg-3","#82a0a6"
"Baumann-Prase 1049-6 Gbb-Bgg 3","1049-6-gbb-bgg-3","#5c7f89"
"Baumann-Prase 1050-8 Gbb-Bgg 3","1050-8-gbb-bgg-3","#446b7f"
"Baumann-Prase 1051-10 Gbb-Bgg 3","1051-10-gbb-bgg-3","#33596b"
"Baumann-Prase 1090-4 Bg-Bgg 2","1090-4-bg-bgg-2","#84a3b4"
"Baumann-Prase 1091-6 Bg-Bgg 2","1091-6-bg-bgg-2","#678495"
"Baumann-Prase 1092-8 Bg-Bgg 2","1092-8-bg-bgg-2","#436379"
"Baumann-Prase 1093-10 Bg-Bgg 2","1093-10-bg-bgg-2","#2d4d70"
"Baumann-Prase 1079-2 Bg-Bgg","1079-2-bg-bgg","#8dd2d5"
"Baumann-Prase 1080-3 Bg-Bgg","1080-3-bg-bgg","#60c6d3"
"Baumann-Prase 1081-4 Bg-Bgg","1081-4-bg-bgg","#33b1c3"
"Baumann-Prase 1082-5 Bg-Bgg","1082-5-bg-bgg","#0f9bb2"
"Baumann-Prase 1083-6 Bg-Bgg","1083-6-bg-bgg","#1f8cb2"
"Baumann-Prase 1084-7 Bg-Bgg","1084-7-bg-bgg","#1879b4"
"Baumann-Prase 1085-8 Bg-Bgg","1085-8-bg-bgg","#296db5"
"Baumann-Prase 1086-3 Bg-Bgg 1","1086-3-bg-bgg-1","#84b1c8"
"Baumann-Prase 1087-5 Bg-Bgg 1","1087-5-bg-bgg-1","#6c99b1"
"Baumann-Prase 1088-7 Bg-Bgg 1","1088-7-bg-bgg-1","#49799c"
"Baumann-Prase 1089-9 Bg-Bgg 1","1089-9-bg-bgg-1","#2d597f"
"Baumann-Prase 1052-1 Bgg","1052-1-bgg","#a5dbd9"
"Baumann-Prase 1053-2 Bgg","1053-2-bgg","#81ccd1"
"Baumann-Prase 1054-3 Bgg","1054-3-bgg","#5cbdca"
"Baumann-Prase 1055-4 Bgg","1055-4-bgg","#4daebc"
"Baumann-Prase 1056-5 Bgg","1056-5-bgg","#24a2b6"
"Baumann-Prase 1057-6 Bgg","1057-6-bgg","#208ab1"
"Baumann-Prase 1058-7 Bgg","1058-7-bgg","#2a82aa"
"Baumann-Prase 1059-8 Bgg","1059-8-bgg","#387cae"
"Baumann-Prase 1060-2 Bgg 1","1060-2-bgg-1","#a4c8d3"
"Baumann-Prase 1061-3 Bgg 1","1061-3-bgg-1","#8cb6c4"
"Baumann-Prase 1062-4 Bgg 1","1062-4-bgg-1","#73a7bc"
"Baumann-Prase 1063-5 Bgg 1","1063-5-bgg-1","#6a9cb6"
"Baumann-Prase 1064-6 Bgg 1","1064-6-bgg-1","#6692a9"
"Baumann-Prase 1065-7 Bgg 1","1065-7-bgg-1","#50809a"
"Baumann-Prase 1066-8 Bgg 1","1066-8-bgg-1","#427095"
"Baumann-Prase 1067-9 Bgg 1","1067-9-bgg-1","#2f618b"
"Baumann-Prase 1068-2 Bgg 2","1068-2-bgg-2","#b3c5cb"
"Baumann-Prase 1069-4 Bgg 2","1069-4-bgg-2","#8ea5b2"
"Baumann-Prase 1070-6 Bgg 2","1070-6-bgg-2","#637f8e"
"Baumann-Prase 1071-8 Bgg 2","1071-8-bgg-2","#496e85"
"Baumann-Prase 1072-10 Bgg 2","1072-10-bgg-2","#315977"
"Baumann-Prase 1073-1 Bgg 3","1073-1-bgg-3","#cfd3d2"
"Baumann-Prase 1074-3 Bgg 3","1074-3-bgg-3","#a1b1bb"
"Baumann-Prase 1075-5 Bgg 3","1075-5-bgg-3","#7e919e"
"Baumann-Prase 1076-7 Bgg 3","1076-7-bgg-3","#637b8b"
"Baumann-Prase 1077-9 Bgg 3","1077-9-bgg-3","#496374"
"Baumann-Prase 1078-11 Bgg 3","1078-11-bgg-3","#374b52"
"Baumann-Prase 1094-1 Bg","1094-1-bg","#c5dce7"
"Baumann-Prase 1095-2 Bg","1095-2-bg","#a7c7e4"
"Baumann-Prase 1096-3 Bg","1096-3-bg","#8fb7de"
"Baumann-Prase 1097-4 Bg","1097-4-bg","#7ca9db"
"Baumann-Prase 1098-5 Bg","1098-5-bg","#6797d4"
"Baumann-Prase 1099-6 Bg","1099-6-bg","#5085cd"
