"Wild Mushroom","350F-7","#73692f"
"Social Butterfly","360A-1","#fcf7df"
"Morning Sunlight","360A-2","#fdf3ca"
"Banana Split","360A-3","#fdefa2"
"Sweet Chamomile","360B-4","#fde46f"
"Citrus","360B-5","#fedd4e"
"Flame Yellow","360B-6","#fed230"
"Center Stage","360B-7","#febd00"
"Clear Yellow","360C-1","#f6f2d3"
"Wickerware","360C-2","#fce7a7"
"Honey Tone","360C-3","#f6e08e"
"Warm Glow","360D-4","#f4d37b"
"Golden Chalice","360D-5","#e6c44b"
"Yellow Gold","360D-6","#e2ba30"
"Brown Mustard","360D-7","#b58e00"
"Creme Brulee","360E-1","#f6eecf"
"Castle Stone","360E-2","#e7dcad"
"Winter Garden","360E-3","#dbce97"
"Dry Sea Grass","360F-4","#c9ba66"
"Desert Moss","360F-5","#b9a64b"
"Raked Leaves","360F-6","#887b27"
"Olive Shadow","360F-7","#5f5528"
"Moon Mist","370A-1","#fcf7ca"
"Pale Daffodil","370A-2","#fdf2a0"
"Bicycle Yellow","370A-3","#fdea74"
"June Day","370B-4","#fde769"
"Sun Shower","370B-5","#fde458"
"Vibrant","370B-6","#fed92d"
"Yellow Flash","370B-7","#ffc800"
"Lemon Pearl","370C-1","#fbf6e0"
"Custard Cream","370C-2","#fbf5ce"
"Sweet Corn","370C-3","#f5eba7"
"Mustard Seed","370D-4","#ecdd87"
"Summer Field","370D-5","#e4c665"
"Golden Cricket","370D-6","#d4b235"
"Venetian Gold","370D-7","#a9921b"
"Country Dairy","370E-1","#f2efd6"
"Cream Silk","370E-2","#eeeac6"
"Willow Herb","370E-3","#e6e3b2"
"Winter Mood","370F-4","#d0cd8d"
"Coriander Seed","370F-5","#bab558"
"Mossy Rock","370F-6","#a19c3f"
"Pinetop","370F-7","#74692c"
"Milkyway Galaxy","380A-1","#f9f5d8"
"Moonlit Yellow","380A-2","#fff3bb"
"Summer Harvest","380A-3","#fdec88"
"Daffodil Yellow","380B-4","#fde96e"
"Neon Light","380B-5","#fde33e"
"Lemon Tart","380B-6","#fddb25"
"Marigold","380B-7","#fed000"
"Sun Glint","380C-1","#fbf9d8"
"Desert Lily","380C-2","#fcf8c9"
