"S 3020-G90Y","s-3020-g90y","#b6a97d"
"S 5030-G90Y","s-5030-g90y","#867747"
"S 0907-G90Y","s-0907-g90y","#e9e4cb"
"S 2010-G90Y","s-2010-g90y","#cbc3a4"
"S 3010-G90Y","s-3010-g90y","#b4ad91"
"S 5010-G90Y","s-5010-g90y","#8c846d"
"S 7010-G90Y","s-7010-g90y","#625b48"
"S 1005-Y","s-1005-y","#e6e0ca"
"S 1510-Y","s-1510-y","#dcd2b3"
"S 3010-Y","s-3010-y","#b9ae90"
"S 4020-Y","s-4020-y","#a28f66"
"S 6020-Y","s-6020-y","#786543"
"S 1505-Y10R","s-1505-y10r","#dbd4c0"
"S 2010-Y10R","s-2010-y10r","#cfc1a4"
"S 3020-Y10R","s-3020-y10r","#bda47c"
"S 5020-Y10R","s-5020-y10r","#8e7857"
"S 7020-Y10R","s-7020-y10r","#604d33"
"S 1005-Y10R","s-1005-y10r","#e4dcc7"
"S 2005-Y10R","s-2005-y10r","#cec6b2"
"S 3010-Y10R","s-3010-y10r","#b8a98e"
"S 5010-Y10R","s-5010-y10r","#948670"
"S 7010-Y10R","s-7010-y10r","#6a5d4d"
"S 1005-Y30R","s-1005-y30r","#e5dac6"
"S 2005-Y40R","s-2005-y40r","#cfc1b0"
"S 3010-Y30R","s-3010-y30r","#bda890"
"S 5020-Y30R","s-5020-y30r","#8f7153"
"S 6020-Y30R","s-6020-y30r","#7a5f48"
"S 1002-Y50R","s-1002-y50r","#e5dfd5"
"S 1505-Y50R","s-1505-y50r","#dbcfc1"
"S 2005-Y50R","s-2005-y50r","#cbc0b3"
"S 3005-Y50R","s-3005-y50r","#b5a89b"
"S 5005-Y50R","s-5005-y50r","#8f837a"
"S 1002-R","s-1002-r","#e5e0dc"
"S 1502-R","s-1502-r","#d6d2ce"
"S 2502-R","s-2502-r","#c1bcba"
"S 3502-R","s-3502-r","#aaa5a2"
"S 5502-R","s-5502-r","#827c7b"
"S 0502-R50B","s-0502-r50b","#f0edeb"
"S 1005-R50B","s-1005-r50b","#dedcdc"
"S 2005-R50B","s-2005-r50b","#c3c0c4"
"S 4005-R50B","s-4005-r50b","#9a979b"
"S 6005-R50B","s-6005-r50b","#736f74"
"S 0603-R80B","s-0603-r80b","#e8ebe9"
"S 1005-R80B","s-1005-r80b","#dadedf"
"S 2005-R80B","s-2005-r80b","#c3c7c9"
"S 3005-R80B","s-3005-r80b","#abb0b4"
"S 5005-R80B","s-5005-r80b","#818489"
"S 1002-B","s-1002-b","#dbdfdd"
"S 1502-B","s-1502-b","#d0d4d2"
"S 2502-B","s-2502-b","#b7bbbb"
"S 3502-B","s-3502-b","#a2a5a5"
"S 5502-B","s-5502-b","#7c7f80"
"S 1002-G","s-1002-g","#dde1da"
"S 1502-G","s-1502-g","#cfd2cc"
"S 2502-G","s-2502-g","#b8bbb6"
"S 3502-G","s-3502-g","#a2a5a2"
"S 5502-G","s-5502-g","#7b7f7b"
"S 1005-G80Y","s-1005-g80y","#e4e2cf"
"S 2005-G80Y","s-2005-g80y","#cac9b5"
"S 3005-G80Y","s-3005-g80y","#b6b4a2"
"S 5005-G80Y","s-5005-g80y","#898879"
"S 7005-G80Y","s-7005-g80y","#646157"
"S 1002-Y","s-1002-y","#e0ddd1"
"S 1502-Y","s-1502-y","#d6d4c8"
"S 2502-Y","s-2502-y","#bdbaaf"
"S 3502-Y","s-3502-y","#a9a69d"
"S 5502-Y","s-5502-y","#817e77"
"S 1000-N","s-1000-n","#e2e0dc"
"S 2000-N","s-2000-n","#cac7c3"
"S 4000-N","s-4000-n","#9c9b99"
"S 6000-N","s-6000-n","#787775"
"S 7500-N","s-7500-n","#5d5c5b"
