"Gelb 2C 01-100","gelb-2c-01-100","#ffce00"
"Braun 6C 22-8850-K-30","braun-6c-22-8850-k-30","#ccc2c3"
"Braun 6C 23-8851-K-100","braun-6c-23-8851-k-100","#4a3627"
"Braun 6C 23-8851-K-55","braun-6c-23-8851-k-55","#958a82"
"Braun 6C 23-8851-K-30","braun-6c-23-8851-k-30","#c6c0bf"
"Braun 6C 24-8852-K-100","braun-6c-24-8852-k-100","#42332a"
"Braun 6C 24-8852-K-55","braun-6c-24-8852-k-55","#8b8380"
"Braun 6C 24-8852-K-30","braun-6c-24-8852-k-30","#c4c0c2"
"Braunschw 6C 25-8853-K-100","braunschw-6c-25-8853-k-100","#332e2e"
"Braunschw 6C 25-8853-K-55","braunschw-6c-25-8853-k-55","#878588"
"Braunschw 6C 25-8853-K-30","braunschw-6c-25-8853-k-30","#c1c0c4"
"Braunschw 6C 34-8854-K-100","braunschw-6c-34-8854-k-100","#2b394c"
"Braunschw 6C 34-8854-K-55","braunschw-6c-34-8854-k-55","#969fac"
"Braunschw 6C 34-8854-K-30","braunschw-6c-34-8854-k-30","#c7cbd3"
"Grau 1C 61-9991-K-100","grau-1c-61-9991-k-100","#9ca4a0"
"Grau 1C 61-9991-K-55","grau-1c-61-9991-k-55","#bec3c2"
"Grau 1C 61-9991-K-30","grau-1c-61-9991-k-30","#dcdedf"
"Grau 1C 62-9992-K-100","grau-1c-62-9992-k-100","#697070"
"Grau 1C 62-9992-K-55","grau-1c-62-9992-k-55","#a9adb0"
"Grau 1C 62-9992-K-30","grau-1c-62-9992-k-30","#d2d3d7"
"Grau 1C 63-9993-K-100","grau-1c-63-9993-k-100","#475158"
"Grau 1C 63-9993-K-55","grau-1c-63-9993-k-55","#9aa0a5"
"Grau 1C 63-9993-K-30","grau-1c-63-9993-k-30","#cdcfd3"
"Grau 1C 64-9995-K-100","grau-1c-64-9995-k-100","#95968b"
"Grau 1C 64-9995-K-55","grau-1c-64-9995-k-55","#c1c1be"
"Grau 1C 64-9995-K-30","grau-1c-64-9995-k-30","#dbdbdb"
"Grau 1C 65-9996-K-100","grau-1c-65-9996-k-100","#777872"
"Grau 1C 65-9996-K-55","grau-1c-65-9996-k-55","#b2b4b3"
"Grau 1C 65-9996-K-30","grau-1c-65-9996-k-30","#d6d6d7"
"Grau 1C 66-9997-K-100","grau-1c-66-9997-k-100","#343a35"
"Grau 1C 66-9997-K-55","grau-1c-66-9997-k-55","#969a9a"
"Grau 1C 66-9997-K-30","grau-1c-66-9997-k-30","#c9cacd"
"Grau 1C 13-8855-K-100","grau-1c-13-8855-k-100","#69716f"
"Grau 1C 13-8855-K-55","grau-1c-13-8855-k-55","#afb3b4"
"Grau 1C 13-8855-K-30","grau-1c-13-8855-k-30","#d4d5d7"
"Grau 1C 14-8856-K-100","grau-1c-14-8856-k-100","#949081"
"Grau 1C 14-8856-K-55","grau-1c-14-8856-k-55","#bdbbb4"
"Grau 1C 14-8856-K-30","grau-1c-14-8856-k-30","#dcdad9"
"Grau 1C 15-8857-K-100","grau-1c-15-8857-k-100","#b9b197"
"Grau 1C 15-8857-K-55","grau-1c-15-8857-k-55","#d5d1c3"
"Grau 1C 15-8857-K-30","grau-1c-15-8857-k-30","#e6e3df"
"Grau 1C 16-8858-K-100","grau-1c-16-8858-k-100","#adaa93"
"Grau 1C 16-8858-K-55","grau-1c-16-8858-k-55","#d0cec3"
"Grau 1C 16-8858-K-30","grau-1c-16-8858-k-30","#e5e3e1"
"Grau 1C 17-8859-K-100","grau-1c-17-8859-k-100","#b9bbad"
"Grau 1C 17-8859-K-55","grau-1c-17-8859-k-55","#d9d9d3"
"Grau 1C 17-8859-K-30","grau-1c-17-8859-k-30","#e9e7e6"
"Chamois 2C 53-8860-K-100","chamois-2c-53-8860-k-100","#fbe19d"
"Chamois 2C 53-8860-K-55","chamois-2c-53-8860-k-55","#f6e9ca"
"Chamois 2C 53-8860-K-30","chamois-2c-53-8860-k-30","#f5efe4"
