"Munsell 2-5Y 7-10","munsell-2-5y-7-10","#d7a223"
"Munsell 2-5Y 6-10","munsell-2-5y-6-10","#bd8802"
"Munsell 2-5Y 8-5-12","munsell-2-5y-8-5-12","#ffc72d"
"Munsell 2-5Y 8-12","munsell-2-5y-8-12","#fcbb05"
"Munsell 2-5Y 7-12","munsell-2-5y-7-12","#dd9e00"
"Munsell 2-5Y 8-14","munsell-2-5y-8-14","#fdb700"
"Munsell 2-5Y 8-16","munsell-2-5y-8-16","#ffb700"
"Munsell 5Y 9-1","munsell-5y-9-1","#f0e9d7"
"Munsell 5Y 8-5-1","munsell-5y-8-5-1","#ded7c4"
"Munsell 5Y 8-1","munsell-5y-8-1","#d3cdbd"
"Munsell 5Y 7-1","munsell-5y-7-1","#b6aea0"
"Munsell 5Y 6-1","munsell-5y-6-1","#989386"
"Munsell 5Y 5-1","munsell-5y-5-1","#807b6f"
"Munsell 5Y 4-1","munsell-5y-4-1","#656055"
"Munsell 5Y 3-1","munsell-5y-3-1","#4b463c"
"Munsell 5Y 2-1","munsell-5y-2-1","#352f2a"
"Munsell 5Y 9-2","munsell-5y-9-2","#f2e6c5"
"Munsell 5Y 8-5-2","munsell-5y-8-5-2","#e3d7ba"
"Munsell 5Y 8-2","munsell-5y-8-2","#d5caab"
"Munsell 5Y 7-2","munsell-5y-7-2","#b9af92"
"Munsell 5Y 6-2","munsell-5y-6-2","#9d9479"
"Munsell 5Y 5-2","munsell-5y-5-2","#857a62"
"Munsell 5Y 4-2","munsell-5y-4-2","#6a5f4b"
"Munsell 5Y 3-2","munsell-5y-3-2","#514836"
"Munsell 5Y 2-2","munsell-5y-2-2","#3a2f1f"
"Munsell 5Y 9-4","munsell-5y-9-4","#f6e5aa"
"Munsell 5Y 8-5-4","munsell-5y-8-5-4","#e7d69c"
"Munsell 5Y 8-4","munsell-5y-8-4","#d9c790"
"Munsell 5Y 7-4","munsell-5y-7-4","#bfad77"
"Munsell 5Y 6-4","munsell-5y-6-4","#a3915f"
"Munsell 5Y 5-4","munsell-5y-5-4","#8c7748"
"Munsell 5Y 4-4","munsell-5y-4-4","#715c31"
"Munsell 5Y 3-4","munsell-5y-3-4","#54431d"
"Munsell 5Y 9-6","munsell-5y-9-6","#fce38d"
"Munsell 5Y 8-5-6","munsell-5y-8-5-6","#f0d681"
"Munsell 5Y 8-6","munsell-5y-8-6","#e1c776"
"Munsell 5Y 7-6","munsell-5y-7-6","#c5ad5e"
"Munsell 5Y 6-6","munsell-5y-6-6","#a88e43"
"Munsell 5Y 5-6","munsell-5y-5-6","#90742d"
"Munsell 5Y 4-6","munsell-5y-4-6","#715917"
"Munsell 5Y 8-5-8","munsell-5y-8-5-8","#f2d365"
"Munsell 5Y 8-8","munsell-5y-8-8","#e5c555"
"Munsell 5Y 7-8","munsell-5y-7-8","#c9a93b"
"Munsell 5Y 6-8","munsell-5y-6-8","#ac8d1d"
"Munsell 5Y 5-8","munsell-5y-5-8","#917107"
"Munsell 5Y 8-5-10","munsell-5y-8-5-10","#fad13c"
"Munsell 5Y 8-10","munsell-5y-8-10","#ecc333"
"Munsell 5Y 7-10","munsell-5y-7-10","#caa70e"
"Munsell 5Y 6-10","munsell-5y-6-10","#ac8800"
"Munsell 5Y 8-5-12","munsell-5y-8-5-12","#fecf00"
"Munsell 5Y 8-12","munsell-5y-8-12","#edc000"
"Munsell 5Y 7-12","munsell-5y-7-12","#d2a200"
"Munsell 5Y 8-5-14","munsell-5y-8-5-14","#ffd000"
"Munsell 5Y 8-14","munsell-5y-8-14","#f0c100"
"Munsell 7-5Y 9-2","munsell-7-5y-9-2","#f1eac6"
