"Sto 33405","sto-33405","#d8b3bc"
"Sto 33406","sto-33406","#dfbdc5"
"Sto 33407","sto-33407","#e8ced2"
"Sto 33408","sto-33408","#f1dbdc"
"Sto 33409","sto-33409","#f4e4e3"
"Sto 33410","sto-33410","#8c6874"
"Sto 33411","sto-33411","#a27c89"
"Sto 33412","sto-33412","#b4919c"
"Sto 33413","sto-33413","#c6a6b1"
"Sto 33414","sto-33414","#d5b7be"
"Sto 33420","sto-33420","#8a7076"
"Sto 33421","sto-33421","#a89096"
"Sto 33422","sto-33422","#bcacb2"
"Sto 33423","sto-33423","#c9bcbf"
"Sto 33424","sto-33424","#cec7c9"
"Sto 33430","sto-33430","#6e5e63"
"Sto 33431","sto-33431","#83737b"
"Sto 33432","sto-33432","#92828a"
"Sto 33433","sto-33433","#a9979d"
"Sto 33434","sto-33434","#bcacb2"
"Sto 33435","sto-33435","#cebec1"
"Sto 33436","sto-33436","#d8cbcb"
"Sto 33437","sto-33437","#e7dedb"
"Sto 33440","sto-33440","#7c5d65"
"Sto 33441","sto-33441","#5a5256"
"Sto 34100","sto-34100","#67576a"
"Sto 34101","sto-34101","#7e6c82"
"Sto 34102","sto-34102","#917f95"
"Sto 34103","sto-34103","#ad9baf"
"Sto 34104","sto-34104","#bcacbd"
"Sto 34105","sto-34105","#cdc0ce"
"Sto 34106","sto-34106","#d4cad5"
"Sto 34107","sto-34107","#e1d8df"
"Sto 34108","sto-34108","#eae3e5"
"Sto 34109","sto-34109","#f0eaea"
"Sto 34110","sto-34110","#786f84"
"Sto 34111","sto-34111","#968ca2"
"Sto 34112","sto-34112","#a89eb0"
"Sto 34113","sto-34113","#b3a8b8"
"Sto 34114","sto-34114","#beb4c1"
"Sto 34115","sto-34115","#d4cdd3"
"Sto 34116","sto-34116","#ded8da"
"Sto 34120","sto-34120","#7f7988"
"Sto 34121","sto-34121","#918a98"
"Sto 34122","sto-34122","#a79fab"
"Sto 34123","sto-34123","#bdb6bf"
"Sto 34124","sto-34124","#cec7cb"
"Sto 34130","sto-34130","#645e61"
"Sto 34131","sto-34131","#746d70"
"Sto 34132","sto-34132","#868184"
"Sto 34133","sto-34133","#969295"
"Sto 34134","sto-34134","#a9a5a8"
"Sto 34135","sto-34135","#b5b1b3"
"Sto 34136","sto-34136","#c7c3c4"
"Sto 34137","sto-34137","#d5d2d1"
"Sto 34138","sto-34138","#e2dfdc"
"Sto 34140","sto-34140","#665d6f"
"Sto 34141","sto-34141","#544951"
"Sto 34200","sto-34200","#5a556e"
"Sto 34201","sto-34201","#75718d"
"Sto 34202","sto-34202","#87839f"
"Sto 34203","sto-34203","#a5a2b9"
"Sto 34204","sto-34204","#b3b0c4"
"Sto 34205","sto-34205","#c6c4d2"
"Sto 34206","sto-34206","#cfcdd9"
"Sto 34207","sto-34207","#dbdae1"
"Sto 34208","sto-34208","#e6e4e6"
"Sto 34209","sto-34209","#ebeae8"
"Sto 34210","sto-34210","#6e687a"
