"TRUMATCH 7-d","7-d","#f5a479"
"TRUMATCH 7-e","7-e","#f9be9d"
"TRUMATCH 7-f","7-f","#fcd6c1"
"TRUMATCH 7-g","7-g","#fef0e6"
"TRUMATCH 7-h","7-h","#fff8f3"
"TRUMATCH 7-a1","7-a1","#df4e28"
"TRUMATCH 7-b1","7-b1","#e2673b"
"TRUMATCH 7-c1","7-c1","#e78455"
"TRUMATCH 7-d1","7-d1","#eb9e76"
"TRUMATCH 7-e1","7-e1","#eeb797"
"TRUMATCH 7-f1","7-f1","#f1ceba"
"TRUMATCH 7-d5","7-d5","#bd8262"
"TRUMATCH 7-e5","7-e5","#c0957e"
"TRUMATCH 7-a2","7-a2","#d34b28"
"TRUMATCH 7-b2","7-b2","#d76339"
"TRUMATCH 7-c2","7-c2","#db7e52"
"TRUMATCH 7-d2","7-d2","#df9770"
"TRUMATCH 7-e2","7-e2","#e2ae91"
"TRUMATCH 7-a5","7-a5","#b44427"
"TRUMATCH 7-b5","7-b5","#b75735"
"TRUMATCH 7-c5","7-c5","#ba6d49"
"TRUMATCH 7-a3","7-a3","#c94928"
"TRUMATCH 7-b3","7-b3","#cd5f38"
"TRUMATCH 7-c3","7-c3","#d1794f"
"TRUMATCH 7-d3","7-d3","#d4906c"
"TRUMATCH 7-e3","7-e3","#d7a68b"
"TRUMATCH 7-a6","7-a6","#a94227"
"TRUMATCH 7-b6","7-b6","#ac5434"
"TRUMATCH 7-c6","7-c6","#b06946"
"TRUMATCH 7-a4","7-a4","#bf4728"
"TRUMATCH 7-b4","7-b4","#c25b37"
"TRUMATCH 7-c4","7-c4","#c6744c"
"TRUMATCH 7-d4","7-d4","#c98967"
"TRUMATCH 7-e4","7-e4","#cc9e85"
"TRUMATCH 7-a7","7-a7","#9f4027"
"TRUMATCH 7-b7","7-b7","#a25032"
"TRUMATCH 7-c7","7-c7","#a56343"
"TRUMATCH 8-a","8-a","#f28a1d"
"TRUMATCH 8-b","8-b","#f59c3e"
"TRUMATCH 8-c","8","#f8ae5f"
"TRUMATCH 8-d","8-d","#fac182"
"TRUMATCH 8-e","8-e","#fcd2a5"
"TRUMATCH 8-f","8-f","#fee3c7"
"TRUMATCH 8-g","8-g","#fff3e8"
"TRUMATCH 8-h","8-h","#fff9f4"
"TRUMATCH 8-a1","8-a1","#e7851e"
"TRUMATCH 8-b1","8-b1","#eb963d"
"TRUMATCH 8-c1","8-c1","#eda75c"
"TRUMATCH 8-d1","8-d1","#efb97e"
"TRUMATCH 8-e1","8-e1","#f1ca9f"
