"Plumeria Lei","LH110","#C9709E"
"Alaskan Ice","RE180-01","#E5E8E8"
"Clean Air","RE170-01","#DBE8EB"
"Unique Steel","RE170-02","#BCCDD4"
"Tiber River","RE110-01","#4B8599"
"Hint Of Blue","RC230-01","#E4EAEB"
"Snowbank","RE190-02","#CCE6EC"
"Cotton Clouds","RD210-01","#C2E3EC"
"Blue Door","RE140-02","#2C7E94"
"Aqua Ice","RE210-01","#D4E5E6"
"Subtle Breeze","RE200-02","#C2D9DF"
"Caspian Blue","RE140-01","#5AA0B9"
"Centurian Blue","RH180","#158AAB"
"Beach Water","RE150-01","#A5BAC1"
"Endless Rain","RE150-02","#8DA7AF"
"Stray Gray","RE120-01","#7D939C"
"Night Train","RE110-02","#477382"
"Peaceful Bedtime","RE220-01","#C1E6ED"
"Glacier Gorge","RE220-02","#9FD8E8"
"Mountain Creek","RE260-01","#77C7DB"
"Sailing Ship","RE260-02","#51B8D0"
"Serene Summit","RE270-01","#68B2C4"
"Wide Awake","RE270-02","#4791A1"
"Basic Teal","RE100-01","#277585"
"Wild River","RE100-02","#3D6775"
"Dreamy Heaven","RF210-01","#DCEFF0"
"Dream Again","RF210-02","#CFEAEE"
"Cloud Break","RE230-01","#A6D7E2"
"Thunder River","RE230-02","#89C8D6"
"Snow Line","RF200-01","#CCEBEE"
"Drop Of Teal","RF200-02","#B5D8DD"
"Dripping Springs","RE250-01","#95C4CD"
"Wet Streets","RE250-02","#7BAEB9"
"Proud Cloud","RE200-01","#D6EDF0"
"Chilly Morning","RE240-01","#B8CDD2"
"Intricate Aqua","RE240-02","#91B3BB"
"Wharf Blue","RE280-02","#3D6C77"
"Wild Arctic","RE210-02","#BFCBCB"
"Blue Sage","RF130-01","#81AAB1"
"Scuba","RF130-02","#22838B"
"Lombardy Lake","RE280-01","#38838D"
"Eastern Promise","RF230-01","#BDE0E4"
"Polar Blue","RF230-02","#A7D4D8"
"Winter Time","RF100-01","#3F929E"
"Blues Tunes","RF220-01","#B6E5E7"
"Classic Turquoise","RF190-01","#82CCD3"
"Tropical Twist","RF140-02","#23A2AD"
"Peacock Plume","RH170","#138A96"
"Aqua Wave","RF220-02","#A5D9DB"
"Glacial Waters","RF180-01","#8EC7CB"
"Southwestern Trail","RF110-01","#24929B"
"Glamour Daze","RF110-02","#09838A"
"Wind Blown","RF170-01","#A3C3C7"
"Water Oasis","RF180-02","#74B1B8"
"Perfect Peacock","RF120-02","#368E95"
"Teal Treat","RF100-02","#297077"
"Blue Juniper","RF160-01","#97B6BA"
"Stormy Waters","RF170-02","#8AAFB4"
"Estuary","RF160-02","#739DA3"
"Tempest","RE290-01","#3A6C73"
"Foggy Promenade","RF260-01","#93B2B3"
"Green Cast","RF290-01","#689091"
"Overcast Day","RF290-02","#45676C"
"Fathoms Below","RE290-02","#3F5A5F"
"Pouring Rain","RF250-01","#88C7C8"
"Venice Escape","RF250-02","#80B7B8"
"Deep Turquoise","RF120-01","#57A8AB"
"Tropical Lagoon","RF270-02","#1A7B7C"
"Watertown","RF150-01","#53C2C4"
"Vivid Turquoise","RF190-02","#56BCBE"
"Seawall","RF150-02","#23ADB0"
"Caribbean Splash","RH160","#108D8C"
"Sea Glass","RG180-01","#D1E5E4"
"Baby Blanket","RF240-01","#BDD3D3"
"Bell Bottoms","RF240-02","#A6C1C1"
"Virtue","RF260-02","#709797"
"Vintage Aqua","RG180-02","#B7DFDB"
"Jamaican Dream","RG150-01","#A4D6D3"
"Garden Pond","RF270-01","#75A5A2"
"French Blue","RF280-02","#4C928F"
"Historic Rose","LA270-01","#B0909F"
"Burgundy Frost","LA270-02","#8C7284"
"Gypsy Plum","RA110-01","#724C6A"
"Eggplant","RA110-02","#503C50"
"Berry Cream","RA200-01","#E3BDDA"
"Candy Store","RA200-02","#C795B4"
"Fusion","RA150-02","#A97698"
"De Janeiro","LH100","#8D557D"
"Pink Tiara","RA260-01","#DEC2DD"
"Head Over Heels","RA160-01","#C399BC"
"Berry Punch","RA150-01","#C08EB2"
"Favorite Things","RA160-02","#AF78A5"
"Bridal Blush","LA220-02","#E2D6DB"
"Mauve Melody","RA210-02","#BDA5B7"
"Berry Bloom","RA140-01","#A790A8"
"Persian Rose","RA140-02","#97829A"
"Sweet Scent","RA250-01","#CFC0D6"
"Strawberry Lassi","RA260-02","#C0A1BE"
"Cupid","RH290","#7D5779"
"Succulent","RH280","#6A486C"
"Shady Pink","RA250-02","#CCB7D0"
"Fashion Pink","RA240-02","#BBA4C2"
"Plum Notion","RA130-01","#938497"
"Regal Purple","RA130-02","#70627F"
"Sofia","RA210-01","#E1D3E6"
"Youthful Pink","RA240-01","#D6BFDD"
"Fruit Smoothie","RA170-02","#9F80A5"
"Poets Purple","RA120-01","#856691"
"Classic Rose","RA220-01","#DCCDE4"
"Crush","RA190-01","#CBACD0"
"Indulgence","RA190-02","#B38BB8"
"Rich Sari","RA120-02","#5F4B70"
"Butterfly Kiss","RA230-01","#D5CFDE"
"Candied Hearts","RA180-01","#C2ACD1"
"Fruit Punch","RA170-01","#B29AC2"
"Super Violet","RH270","#6F5782"
"Silk Scarf","RA220-02","#BEB0CA"
"Mystic Petals","RA180-02","#AB9AB8"
"Jupiter","RA290-01","#8B8095"
"Wine Hour","RA290-02","#5E5871"
"Light Shadow","RB190-02","#CFCFDA"
"February Amethyst","RA230-02","#CAC0DE"
"Mystical Purple","RH260","#796A9D"
"Superstition","RH250","#604C7F"
"Rain Shimmer","RB180-01","#D1D1E3"
"Soapy Water","RB180-02","#C7C7DE"
"Ginger Lily","RA280-01","#B6AED3"
"Belladona","RA280-02","#8A7AAA"
"Colorado Dawn","RB190-01","#DDDCE9"
"Boysenberry Cream","RA270-01","#C0BDD2"
"Fortnight Lily","RA270-02","#A49FBA"
"Purple","RB140-02","#6A678F"
"Pixie","RB170-01","#D0D4E7"
"Wonderland","RB140-01","#8F8FBA"
"Bewitched","RB110-02","#5D6181"
"Renaissance Tapestry","RH240","#48436D"
"Periwinkle Bloom","RB170-02","#B2BAD7"
"Bedtime Story","RB150-01","#9A9FC7"
"Lavender Glow","RB150-02","#9094C1"
"Blueberry Sauce","RB110-01","#646A93"
"Twilight Spell","RB200-02","#CECFDB"
"Hazy Purple","RB230-02","#A2A5B2"
"Magical Twilight","RB280-01","#7B8193"
"India Ink","RB100-01","#4C5064"
"Hush Lilac","RB160-01","#B2B8D0"
"Lavender Herb","RB160-02","#9AA0BB"
"Lavender Blossom","RB130-01","#7C80AF"
"Sapphire Sequin","RB120-02","#4B568A"
"Slow Dance","RB260-01","#9AABD3"
"Serendipity","RB260-02","#838EBD"
"Genie","RB120-01","#6877AA"
"Grape Beginnings","RB130-02","#586194"
"Supremely Cool","RB220-01","#B6C3D8"
"Sea Lavender","RB240-02","#94A0B9"
"Deep Velvet","RB290-01","#4F5872"
"Blue Galaxy","RB100-02","#41445C"
"April Morning","RB240-01","#B6C4E2"
"Purple Wish","RB270-01","#8597B8"
"Remembrance","RC160-01","#7A8EB1"
"Purpling","RB270-02","#556584"
"Letter To Juliet","RC210-01","#D4DFEC"
"Lavender Lullaby","RC210-02","#CBD8E9"
"Silver Falls","RB230-01","#BAC3D4"
"Musical Play","RB220-02","#A0AECA"
"Willow Branch","LL170","#948981"
"Muddy Paws","LL120","#6B625A"
"Bittersweet Brown","LM140","#5D524E"
"Incense Stick","LM100","#494237"
"Boardwalk","RK130","#C8C6C2"
"Historic Monument","RK260","#A39B96"
"Enchanted","RL180","#918B86"
"Underground","RM170","#69655F"
"Impressionist Taupe","LL260","#D0C6BF"
"Chocolate Torte","LM190","#715F58"
"Chocolate Indulgence","LM150","#5F4F4D"
"Cattail","LM130","#594B49"
"Dove Feather","LA200-01","#CDC0BC"
"Always Taupe","RK170","#BEB4B1"
"Simply Taupe","LA200-02","#B8A7A2"
"Black Cherry","LM110","#4D423C"
"Spiced Cocoa","LM250","#9E867A"
"Fine Leather","LM240","#8E7265"
"Brown Chipotle","LB290-01","#8A675C"
