"EN-95","en-95","#f9faf8"
"E 55-85B","e-55-85b","#d2e0da"
"E 55-80D","e-55-80d","#b5d2cb"
"E 55-70D","e-55-70d","#9fbab3"
"E 55-50H","e-55-50h","#50847c"
"E 55-30L","e-55-30l","#005047"
"E 55-30D","e-55-30d","#2c433f"
"E 55-20D","e-55-20d","#112520"
"E 55-90D","e-55-90d","#d2f3e9"
"E 55-80H","e-55-80h","#98d4c8"
"E 55-70H","e-55-70h","#87bdb2"
"E 57-70H","e-57-70h","#85bfb9"
"E 57-70D","e-57-70d","#9cb8b4"
"E 57-60C","e-57-60c","#879896"
"E 57-50H","e-57-50h","#4e8382"
"E 57-30H","e-57-30h","#004b4e"
"E 59-80D","e-59-80d","#b5d0cf"
"E 59-70L","e-59-70l","#5fc2c3"
"E 59-60H","e-59-60h","#66a0a2"
"E 59-50D","e-59-50d","#677f81"
"E 62-80H","e-62-80h","#9ed8db"
"E 62-60L","e-62-60l","#49a6af"
"E 62-60H","e-62-60h","#689ea4"
"E 62-50H","e-62-50h","#50858c"
"E 62-60D","e-62-60d","#7b9598"
"E 65-75A","e-65-75a","#bcc1c1"
"E 65-70A","e-65-70a","#abb0b1"
"E 65-65A","e-65-65a","#a3a7a7"
"E 65-40B","e-65-40b","#576063"
"E 65-30B","e-65-30b","#3b4548"
"E 65-30D","e-65-30d","#31474c"
"E 65-20B","e-65-20b","#1a2325"
"E 65-90A","e-65-90a","#e5ebe9"
"E 65-85A","e-65-85a","#d7dedd"
"E 65-80A","e-65-80a","#cbd1d1"
"E 65-65B","e-65-65b","#d4dfdf"
"E 65-80B","e-65-80b","#c5d1d2"
"E 65-70B","e-65-70b","#aab7b9"
"E 65-60B","e-65-60b","#919a9c"
"E 65-50B","e-65-50b","#767f80"
"E 65-90B","e-65-90b","#e1eded"
"E 65-90D","e-65-90d","#d2eaec"
"E 65-80D","e-65-80d","#b8cfd1"
"E 65-70D","e-65-70d","#a0b5ba"
"E 65-60D","e-65-60d","#879b9f"
"E 65-50D","e-65-50d","#6b8186"
"E 65-40D","e-65-40d","#4c6369"
"E 65-20L","e-65-20l","#003a48"
"E 65-80H","e-65-80h","#a4d6de"
"E 65-70H","e-65-70h","#8abbc5"
"E 65-70L","e-65-70l","#6cc0cf"
"E 65-40H","e-65-40h","#3a6b77"
"E 69-60H","e-69-60h","#7d9caf"
"E 69-50D","e-69-50d","#6b7b85"
"E 69-40D","e-69-40d","#53616b"
"E 69-20D","e-69-20d","#0c262c"
"E 69-80B","e-69-80b","#cad0d2"
"E 69-80H","e-69-80h","#afd1e0"
"E 69-70L","e-69-70l","#7fbad6"
"E 69-60L","e-69-60l","#6da4c1"
"E 72-80H","e-72-80h","#b8d4e8"
"E 72-70L","e-72-70l","#8db9d8"
"E 72-50L","e-72-50l","#5882a4"
"E 72-30H","e-72-30h","#244962"
"E 72-80D","e-72-80d","#c6d0d8"
"E 72-70D","e-72-70d","#aab6c0"
"E 72-60H","e-72-60h","#839cb0"
"E 72-60D","e-72-60d","#8f99a2"
"E 75-50B","e-75-50b","#7a7d83"
"E 75-40B","e-75-40b","#5c5f66"
"E 75-30B","e-75-30b","#3d4149"
"E 75-20B","e-75-20b","#111d23"
"E 75-90A","e-75-90a","#e9ebea"
"E 75-85A","e-75-85a","#dadbdb"
"E 75-80A","e-75-80a","#cccdce"
"E 75-75A","e-75-75a","#c1c2c3"
"E 75-70A","e-75-70a","#b3b4b6"
"E 75-60B","e-75-60b","#94979d"
"E 75-30D","e-75-30d","#374251"
"E 75-20D","e-75-20d","#172433"
"E 75-90B","e-75-90b","#e5eaed"
"E 75-85B","e-75-85b","#dadee2"
"E 75-80B","e-75-80b","#ced2d6"
"E 75-70B","e-75-70b","#b1b4b9"
"E 75-60D","e-75-60d","#9097a2"
"E 75-50D","e-75-50d","#767d89"
"E 75-40D","e-75-40d","#59606e"
"E 75-20L","e-75-20l","#003251"
"E 75-90D","e-75-90d","#e0e7ec"
"E 75-80D","e-75-80d","#c7cfd9"
"E 75-70D","e-75-70d","#aab2bd"
"E 75-70L","e-75-70l","#98b6da"
"E 75-60P","e-75-60p","#749ecf"
"E 75-50H","e-75-50h","#6e7f97"
"E 75-40L","e-75-40l","#446389"
"E 76-40P","e-76-40p","#436397"
"E 76-80D","e-76-80d","#c7ccd4"
"E 76-80H","e-76-80h","#becde2"
"E 76-70L","e-76-70l","#a1b6da"
