"Krautol Petrol 14","krautol-petrol-14","#88bcb8"
"Krautol Petrol 15","krautol-petrol-15","#9dcac7"
"Krautol Petrol 16","krautol-petrol-16","#b1d4d0"
"Krautol Petrol 17","krautol-petrol-17","#c2dfda"
"Krautol Petrol 18","krautol-petrol-18","#cbe1da"
"Krautol Rauch 11","krautol-rauch-11","#62605f"
"Krautol Rauch 12","krautol-rauch-12","#747374"
"Krautol Rauch 13","krautol-rauch-13","#878686"
"Krautol Rauch 14","krautol-rauch-14","#9f9f9f"
"Krautol Rauch 15","krautol-rauch-15","#b2b2b1"
"Krautol Rauch 16","krautol-rauch-16","#c0c1bf"
"Krautol Rauch 17","krautol-rauch-17","#d2d2ce"
"Krautol Rauch 18","krautol-rauch-18","#d8dad5"
"Krautol Rose 11","krautol-rose-11","#ad6c6d"
"Krautol Rose 12","krautol-rose-12","#bb7d81"
"Krautol Rose 13","krautol-rose-13","#cd979c"
"Krautol Rose 14","krautol-rose-14","#d7aaae"
"Krautol Rose 15","krautol-rose-15","#ddbbbc"
"Krautol Rose 16","krautol-rose-16","#e4c9c4"
"Krautol Rose 17","krautol-rose-17","#ecd8d3"
"Krautol Rose 18","krautol-rose-18","#ebdfd8"
"Krautol Rot 11","krautol-rot-11","#d96462"
"Krautol Rot 12","krautol-rot-12","#e37879"
"Krautol Rot 13","krautol-rot-13","#e78d8e"
"Krautol Rot 14","krautol-rot-14","#eda5a4"
"Krautol Rot 15","krautol-rot-15","#f2bab7"
"Krautol Rot 16","krautol-rot-16","#f3cbc2"
"Krautol Rot 17","krautol-rot-17","#ebd3c6"
"Krautol Rot 18","krautol-rot-18","#f0dcd2"
"Krautol Rubinrot 11","krautol-rubinrot-11","#a75967"
"Krautol Rubinrot 12","krautol-rubinrot-12","#b96f81"
"Krautol Rubinrot 13","krautol-rubinrot-13","#c78493"
"Krautol Rubinrot 14","krautol-rubinrot-14","#d59ba9"
"Krautol Rubinrot 15","krautol-rubinrot-15","#ddadb7"
"Krautol Rubinrot 16","krautol-rubinrot-16","#eac3c7"
"Krautol Rubinrot 17","krautol-rubinrot-17","#e6cbce"
"Krautol Rubinrot 18","krautol-rubinrot-18","#e5d8d6"
"Krautol Rubinviolett 11","krautol-rubinviolett-11","#976eab"
"Krautol Rubinviolett 12","krautol-rubinviolett-12","#a37eb8"
"Krautol Rubinviolett 13","krautol-rubinviolett-13","#b08fc4"
"Krautol Rubinviolett 14","krautol-rubinviolett-14","#c3a7d2"
"Krautol Rubinviolett 15","krautol-rubinviolett-15","#ceb6d8"
"Krautol Rubinviolett 16","krautol-rubinviolett-16","#dac5e0"
"Krautol Rubinviolett 17","krautol-rubinviolett-17","#e4d4e3"
"Krautol Rubinviolett 18","krautol-rubinviolett-18","#eae2e7"
"Krautol Sand 11","krautol-sand-11","#b08962"
"Krautol Sand 12","krautol-sand-12","#bb9976"
"Krautol Sand 13","krautol-sand-13","#d1b290"
"Krautol Sand 14","krautol-sand-14","#dcc1a6"
"Krautol Sand 15","krautol-sand-15","#e7ceb2"
"Krautol Sand 16","krautol-sand-16","#e9d9c3"
"Krautol Sand 17","krautol-sand-17","#ede2cf"
"Krautol Sand 18","krautol-sand-18","#eee7d7"
"Krautol Schiefer 11","krautol-schiefer-11","#646761"
"Krautol Schiefer 12","krautol-schiefer-12","#7b7f7b"
"Krautol Schiefer 13","krautol-schiefer-13","#919590"
"Krautol Schiefer 14","krautol-schiefer-14","#a6aaa4"
"Krautol Schiefer 15","krautol-schiefer-15","#babcb6"
"Krautol Schiefer 16","krautol-schiefer-16","#cacdc6"
"Krautol Schiefer 17","krautol-schiefer-17","#d5d7d1"
"Krautol Schiefer 18","krautol-schiefer-18","#ddded7"
"Krautol Smaragdgruen 11","krautol-smaragdgruen-11","#518d5d"
"Krautol Smaragdgruen 12","krautol-smaragdgruen-12","#629e6d"
"Krautol Smaragdgruen 13","krautol-smaragdgruen-13","#76b189"
"Krautol Smaragdgruen 14","krautol-smaragdgruen-14","#8fc19b"
"Krautol Smaragdgruen 15","krautol-smaragdgruen-15","#a6d1af"
"Krautol Smaragdgruen 16","krautol-smaragdgruen-16","#b4d9bb"
"Krautol Smaragdgruen 17","krautol-smaragdgruen-17","#c5e2c8"
