"S 0560-Y","s-0560-y","#fccf4d"
"S 0530-G90Y","s-0530-g90y","#f5e899"
"S 0540-G90Y","s-0540-g90y","#f5e480"
"S 0550-G90Y","s-0550-g90y","#f4e16a"
"S 1060-G90Y","s-1060-g90y","#dcc242"
"S 1010-Y","s-1010-y","#e7ddbb"
"S 1020-Y","s-1020-y","#e9daa4"
"S 1030-Y","s-1030-y","#e5cf88"
"S 1040-Y","s-1040-y","#efd278"
"S 1050-Y","s-1050-y","#eccb5b"
"S 2040-Y","s-2040-y","#d0b464"
"S 3040-Y","s-3040-y","#b2974f"
"S 1010-Y10R","s-1010-y10r","#e6d9b7"
"S 1020-Y10R","s-1020-y10r","#e9d1a0"
"S 1030-Y10R","s-1030-y10r","#e9c988"
"S 1040-Y10R","s-1040-y10r","#f1c775"
"S 1050-Y10R","s-1050-y10r","#f2c060"
"S 2050-Y10R","s-2050-y10r","#d5a751"
"S 3040-Y10R","s-3040-y10r","#b79151"
"S 1010-Y30R","s-1010-y30r","#ebd7bb"
"S 1020-Y30R","s-1020-y30r","#f0cb9f"
"S 1030-Y30R","s-1030-y30r","#f2c08a"
"S 1040-Y30R","s-1040-y30r","#f4b577"
"S 1050-Y30R","s-1050-y30r","#f2a961"
"S 2050-Y30R","s-2050-y30r","#d79353"
"S 3040-Y30R","s-3040-y30r","#bc8755"
"S 1010-Y50R","s-1010-y50r","#e8cfb8"
"S 1020-Y50R","s-1020-y50r","#edc1a3"
"S 1030-Y50R","s-1030-y50r","#f0b28c"
"S 1040-Y50R","s-1040-y50r","#f0a578"
"S 1050-Y50R","s-1050-y50r","#ea9764"
"S 2040-Y50R","s-2040-y50r","#d58f66"
"S 3040-Y50R","s-3040-y50r","#b77652"
"S 1010-Y70R","s-1010-y70r","#e9cfc0"
"S 1020-Y70R","s-1020-y70r","#ebbeaa"
"S 1030-Y70R","s-1030-y70r","#ebaf97"
"S 1040-Y70R","s-1040-y70r","#ea9b82"
"S 1050-Y70R","s-1050-y70r","#e98a6d"
"S 2050-Y70R","s-2050-y70r","#cb745d"
"S 3050-Y70R","s-3050-y70r","#af5d4a"
"S 1010-Y90R","s-1010-y90r","#e8d4cc"
"S 1020-Y90R","s-1020-y90r","#e8c0b6"
"S 1030-Y90R","s-1030-y90r","#e5a9a2"
"S 1040-Y90R","s-1040-y90r","#e69b92"
"S 2040-Y90R","s-2040-y90r","#cb827d"
"S 3040-Y90R","s-3040-y90r","#b16b65"
"S 4040-Y90R","s-4040-y90r","#955650"
"S 1010-R10B","s-1010-r10b","#e5d3d2"
"S 1020-R10B","s-1020-r10b","#e4c0c4"
"S 1030-R10B","s-1030-r10b","#e2afb5"
"S 1040-R10B","s-1040-r10b","#df98a4"
"S 2040-R10B","s-2040-r10b","#c67f8c"
"S 3040-R10B","s-3040-r10b","#a76671"
"S 4040-R10B","s-4040-r10b","#8d4f5a"
"S 1010-R30B","s-1010-r30b","#e1d1d6"
"S 1020-R30B","s-1020-r30b","#dec1cd"
"S 1030-R30B","s-1030-r30b","#d9afc2"
"S 1040-R30B","s-1040-r30b","#d89bbc"
"S 2040-R30B","s-2040-r30b","#bc809f"
"S 3040-R30B","s-3040-r30b","#a16a87"
"S 4040-R30B","s-4040-r30b","#844b6a"
"S 1010-R40B","s-1010-r40b","#dcd4da"
"S 1020-R40B","s-1020-r40b","#d6c1d2"
"S 1030-R40B","s-1030-r40b","#d2b2cd"
"S 1040-R40B","s-1040-r40b","#d1a3c9"
"S 2040-R40B","s-2040-r40b","#b488b1"
"S 3040-R40B","s-3040-r40b","#9c6c95"
"S 4040-R40B","s-4040-r40b","#81527a"
"S 1010-R50B","s-1010-r50b","#d8d3db"
"S 1020-R50B","s-1020-r50b","#cfc4d6"
"S 1030-R50B","s-1030-r50b","#c9b4d1"
"S 1040-R50B","s-1040-r50b","#c3a5d4"
"S 2040-R50B","s-2040-r50b","#a887b6"
"S 3040-R50B","s-3040-r50b","#9674a0"
"S 4040-R50B","s-4040-r50b","#755482"
"S 1010-R60B","s-1010-r60b","#d4d4db"
"S 1020-R60B","s-1020-r60b","#cac9dd"
"S 1030-R60B","s-1030-r60b","#bdbada"
"S 1040-R60B","s-1040-r60b","#b2aada"
"S 2040-R60B","s-2040-r60b","#9c92c1"
"S 3040-R60B","s-3040-r60b","#8276a7"
"S 4040-R60B","s-4040-r60b","#685a8b"
"S 1010-R70B","s-1010-r70b","#d0d4da"
"S 1020-R70B","s-1020-r70b","#c1cbde"
"S 1030-R70B","s-1030-r70b","#b1bedd"
"S 1040-R70B","s-1040-r70b","#8a96c5"
"S 2040-R70B","s-2040-r70b","#727eae"
"S 3040-R70B","s-3040-r70b","#596495"
"S 4040-R70B","s-4040-r70b","#3d4375"
"S 5040-R70B","s-5040-r70b","#cdd8dd"
"S 1010-R80B","s-1010-r80b","#cdd8de"
"S 1020-R80B","s-1020-r80b","#b9cbdb"
"S 1030-R80B","s-1030-r80b","#a8c1de"
"S 2040-R80B","s-2040-r80b","#7c9bc5"
"S 3040-R80B","s-3040-r80b","#6382b0"
"S 4040-R80B","s-4040-r80b","#526c99"
"S 5040-R80B","s-5040-r80b","#2e4d7a"
"S 1010-R90B","s-1010-r90b","#cbd8df"
"S 1020-R90B","s-1020-r90b","#b4cfdd"
"S 1030-R90B","s-1030-r90b","#9fc1d8"
"S 2040-R90B","s-2040-r90b","#729fc2"
"S 3040-R90B","s-3040-r90b","#5988ab"
"S 4040-R90B","s-4040-r90b","#456f95"
"S 5040-R90B","s-5040-r90b","#245275"
"S 1010-B","s-1010-b","#c5d6d9"
"S 1020-B","s-1020-b","#b1cfda"
"S 1030-B","s-1030-b","#98c6d5"
"S 1040-B","s-1040-b","#76bad2"
"S 2040-B","s-2040-b","#66a1bc"
"S 3040-B","s-3040-b","#4d8ca9"
"S 4040-B","s-4040-b","#31728e"
"S 1010-B10G","s-1010-b10g","#cad9d9"
"S 1020-B10G","s-1020-b10g","#acd2d8"
"S 1030-B10G","s-1030-b10g","#91c9d4"
"S 1040-B10G","s-1040-b10g","#75c2d1"
"S 2040-B10G","s-2040-b10g","#5fa7b8"
"S 3040-B10G","s-3040-b10g","#4891a4"
"S 4040-B10G","s-4040-b10g","#2f7687"
"S 1010-B50G","s-1010-b50g","#c7dad6"
"S 1020-B50G","s-1020-b50g","#aad2ce"
"S 1030-B50G","s-1030-b50g","#92cdc7"
"S 1040-B50G","s-1040-b50g","#6ec5c4"
"S 2040-B50G","s-2040-b50g","#61afa9"
"S 3040-B50G","s-3040-b50g","#449792"
"S 4040-B50G","s-4040-b50g","#297f7b"
"S 1010-B90G","s-1010-b90g","#cbdad0"
"S 1020-B90G","s-1020-b90g","#b2d5c2"
"S 1030-B90G","s-1030-b90g","#9dd1b8"
"S 1040-B90G","s-1040-b90g","#7dceb4"
"S 2040-B90G","s-2040-b90g","#60b093"
"S 3040-B90G","s-3040-b90g","#46977c"
"S 4040-B90G","s-4040-b90g","#327f67"
"S 1010-G10Y","s-1010-g10y","#cad9c7"
"S 1020-G10Y","s-1020-g10y","#b9d7b9"
"S 1030-G10Y","s-1030-g10y","#a4cea6"
"S 1040-G10Y","s-1040-g10y","#93cb98"
"S 2040-G10Y","s-2040-g10y","#77b17e"
"S 3040-G10Y","s-3040-g10y","#63966b"
"S 4040-G10Y","s-4040-g10y","#497d54"
"S 1010-G30Y","s-1010-g30y","#d4dbc5"
"S 1020-G30Y","s-1020-g30y","#c2d5b0"
"S 1030-G30Y","s-1030-g30y","#b3cd9a"
"S 1040-G30Y","s-1040-g30y","#a9cd8a"
"S 2040-G30Y","s-2040-g30y","#8eb073"
"S 3040-G30Y","s-3040-g30y","#7b9a61"
"S 4040-G30Y","s-4040-g30y","#64804d"
"S 1010-G50Y","s-1010-g50y","#d9ddc3"
"S 1020-G50Y","s-1020-g50y","#d2dbab"
"S 1030-G50Y","s-1030-g50y","#c5d191"
"S 1040-G50Y","s-1040-g50y","#becc7c"
"S 2040-G50Y","s-2040-g50y","#a5b168"
"S 3040-G50Y","s-3040-g50y","#929a59"
"S 4040-G50Y","s-4040-g50y","#7a8149"
"S 1010-G70Y","s-1010-g70y","#ddddbe"
"S 1020-G70Y","s-1020-g70y","#dbdba8"
"S 1030-G70Y","s-1030-g70y","#d5d58d"
"S 1040-G70Y","s-1040-g70y","#d0d073"
"S 2040-G70Y","s-2040-g70y","#b7b460"
"S 3040-G70Y","s-3040-g70y","#9f9a54"
"S 4040-G70Y","s-4040-g70y","#868242"
"S 1010-G90Y","s-1010-g90y","#e0dab9"
"S 1020-G90Y","s-1020-g90y","#e4d9a3"
"S 1030-G90Y","s-1030-g90y","#e0d38b"
"S 1040-G90Y","s-1040-g90y","#dfcf75"
"S 1050-G90Y","s-1050-g90y","#dfca5a"
"S 2040-G90Y","s-2040-g90y","#c2b963"
"S 3040-G90Y","s-3040-g90y","#a89c51"
"S 2010-Y","s-2010-y","#cac0a4"
"S 2020-Y","s-2020-y","#ccbb8d"
"S 2030-Y","s-2030-y","#cab375"
"S 3030-Y","s-3030-y","#b49d65"
"S 4030-Y","s-4030-y","#9f8754"
"S 5030-Y","s-5030-y","#8a7243"
"S 6030-Y","s-6030-y","#6d562d"
"S 2010-Y10R","s-2010-y10r","#ccbea1"
"S 2020-Y10R","s-2020-y10r","#ceb88d"
"S 2030-Y10R","s-2030-y10r","#d1b177"
"S 3030-Y10R","s-3030-y10r","#ba9a65"
