"Hat Box Brown","1085-6","#8f775d"
"Fig Branches","1085-7","#7a634d"
"Horseradish","1086-1","#eeeadd"
"Brandied Pears","1086-2","#eae2d1"
"Almond Cream","1086-3","#e1cfb2"
"Pony Tail","1086-4","#d2bc9b"
"Earthy Ocher","1086-5","#b89e78"
"Coffee With Cream","1086-6","#a68966"
"Cocoa Cupcake","1086-7","#967859"
"Madonna Lily","1087-1","#eee6db"
"Pearl","1087-2","#efe5d9"
"Antique Parchment","1087-3","#ead8c1"
"Chalkware","1087-4","#e0ceb7"
"Cracker Bitz","1087-5","#d1b088"
"Bread Basket","1087-6","#ab8659"
"Chewy Caramel","1087-7","#977043"
"Angel Food","1088-1","#f0e8d9"
"Ethereal","1088-2","#eedec7"
"Sugared Pears","1088-3","#ebd5b7"
"Splash Of Honey","1088-4","#d8b98c"
"Outback","1088-5","#c9a375"
"Cool Copper","1088-6","#ad8458"
"Sahara Splendor","1088-7","#9b7448"
"Pita Bread","1089-1","#f5e7d2"
"Magnolia Spray","1089-2","#f6e6cb"
"Chai Tea Latte","1089-3","#efd7b3"
"Faint Fawn","1089-4","#e2c59c"
"Bleached Maple","1089-5","#c7a06c"
"Honey Haven","1089-6","#bc9263"
"Caramelized Pecan","1089-7","#a17b4d"
"Magnolia Blossom","1090-1","#f4e7ce"
"Spice Is Nice","1090-2","#ebd0a4"
"Honey Bunny","1090-3","#dbb881"
"Drops Of Honey","1090-4","#d4ae76"
"Good Life","1090-5","#c49e69"
"Allegro","1090-6","#b28959"
"Sugar Maple","1090-7","#9c7647"
"Candlewick","1091-1","#f2ebd3"
"Crescent Moon","1091-2","#f1e9cf"
"Limitless","1091-3","#f0ddb8"
"Halo","1091-4","#e2c392"
"More Maple","1091-5","#d0ab70"
"Tan Your Hide","1091-6","#b5905a"
"Look At Me","1091-7","#a67e4b"
"Queen Anne's Lace","1092-1","#f2eede"
"Mesa Beige","1092-2","#f2ebd6"
"Tuscan Bread","1092-3","#e7d2ad"
"Craftsman Gold","1092-4","#d3b78b"
"Welcome Home","1092-5","#c09c6a"
"It Works","1092-6","#af8a5b"
"Weathered Wicker","1092-7","#97774d"
"Perfect Solution","1093-1","#f2edd7"
