"Baumit 17S","17s","#c7c5c1"
"Baumit 17T","17t","#cae2e4"
"Baumit 17U","17u","#d9c2b0"
"Baumit 17V","17v","#dcc8c7"
"Baumit 17Z","17z","#e6c6b8"
"Baumit 21A","21a","#6895af"
"Baumit 21B","21b","#a78b53"
"Baumit 21C","21c","#af6c4f"
"Baumit 21F","21f","#797f94"
"Baumit 21G","21g","#e0da78"
"Baumit 21J","21j","#5ba77e"
"Baumit 21K","21k","#809165"
"Baumit 21L","21l","#b6c274"
"Baumit 21M","21m","#da9d4c"
"Baumit 21O","21o","#959059"
"Baumit 21R","21r","#8e5957"
"Baumit 21S","21s","#626061"
"Baumit 21T","21t","#3fb8bb"
"Baumit 21U","21u","#996b52"
"Baumit 21V","21v","#866c72"
"Baumit 21Z","21z","#9f594c"
"Baumit 23A","23a","#8bafc5"
"Baumit 23B","23b","#bea368"
"Baumit 23C","23c","#c88766"
"Baumit 23F","23f","#9ba2b3"
"Baumit 23G","23g","#e4e08d"
"Baumit 23J","23j","#7abc96"
"Baumit 23K","23k","#9dab81"
"Baumit 23L","23l","#c3cd8c"
"Baumit 23M","23m","#e1ad64"
"Baumit 23O","23o","#aaa66f"
"Baumit 23R","23r","#ab7978"
"Baumit 23S","23s","#7f7e7f"
"Baumit 23T","23t","#6bc7ca"
"Baumit 23U","23u","#b3866b"
"Baumit 23V","23v","#a28b90"
"Baumit 23Z","23z","#b87468"
"Baumit 25A","25a","#b2cad5"
"Baumit 25B","25b","#cfbb8b"
"Baumit 25C","25c","#d9a68b"
"Baumit 25F","25f","#b8bec9"
"Baumit 25G","25g","#e5e6ae"
"Baumit 25J","25j","#a3cdb0"
"Baumit 25K","25k","#bbc5a5"
"Baumit 25L","25l","#d4d9a9"
"Baumit 25M","25m","#ecca92"
"Baumit 25O","25o","#c6c196"
"Baumit 25R","25r","#c7a1a0"
"Baumit 25S","25s","#a4a3a3"
"Baumit 25T","25t","#9dd7d8"
"Baumit 25U","25u","#cdaa91"
"Baumit 25V","25v","#c1b0b3"
"Baumit 25Z","25z","#d0988d"
"Baumit 27A","27a","#cbdbe0"
"Baumit 27B","27b","#e4d7b8"
"Baumit 27C","27c","#e6c6b3"
"Baumit 27F","27f","#d1d5d8"
"Baumit 27G","27g","#e6e5c2"
"Baumit 27J","27j","#c7dfcd"
"Baumit 27K","27k","#d5dac6"
"Baumit 27L","27l","#e2e4c8"
"Baumit 27M","27m","#e7d6b2"
"Baumit 27O","27o","#dfdbbe"
"Baumit 27R","27r","#d8c0bc"
"Baumit 27S","27s","#c5c3be"
"Baumit 27T","27t","#c3e1df"
"Baumit 27U","27u","#e0c9ba"
"Baumit 27V","27v","#d5cbcb"
"Baumit 27Z","27z","#e1bdb5"
"Baumit 31A","31a","#669dd3"
"Baumit 31B","31b","#9b8754"
"Baumit 31G","31g","#e2bd67"
"Baumit 31J","31j","#68aa77"
"Baumit 31M","31m","#cb8d56"
"Baumit 31T","31t","#48aba0"
"Baumit 31U","31u","#865f4c"
"Baumit 33A","33a","#88b3da"
"Baumit 33B","33b","#b5a26d"
"Baumit 33G","33g","#e5c97d"
"Baumit 33J","33j","#87c092"
"Baumit 33M","33m","#daa16a"
"Baumit 33T","33t","#76bdb5"
"Baumit 33U","33u","#a37d69"
"Baumit 35A","35a","#b2cade"
"Baumit 35B","35b","#cebf93"
"Baumit 35G","35g","#e8d9a2"
"Baumit 35J","35j","#afd2ae"
"Baumit 35M","35m","#e2b98d"
"Baumit 35T","35t","#9acfc8"
"Baumit 35U","35u","#c1a292"
"Baumit 37A","37a","#ccd9e0"
"Baumit 37B","37b","#e1d7bb"
"Baumit 37G","37g","#ebe4c4"
"Baumit 37J","37j","#cee2cc"
"Baumit 37M","37m","#e9d3b5"
"Baumit 37T","37t","#c3ded8"
"Baumit 37U","37u","#dac3b5"
"Baumit 41A","41a","#698bad"
"Baumit 41B","41b","#8a7b54"
"Baumit 41U","41u","#765f52"
"Baumit 43A","43a","#8eacc8"
"Baumit 43B","43b","#a7986d"
"Baumit 43U","43u","#988172"
"Baumit 45A","45a","#aec5d6"
"Baumit 45B","45b","#c5b998"
"Baumit 45U","45u","#baa599"
"Baumit 47A","47a","#cdd9df"
"Baumit 47B","47b","#d7cfb5"
"Baumit 47U","47u","#d4c5bb"
"Baumit 51A","51a","#697e91"
"Baumit 53A","53a","#8c9fb0"
"Baumit 55A","55a","#afbdc8"
"Baumit 57A","57a","#ced6db"
